1ibzD1.pdb4	1ibzA6.pdb4	257.6
1ibzD1.pdb4	1ibzA5.pdb4	173.1
1ibzD1.pdb4	1ibzD2.pdb4	901.2
1ibzD1.pdb4	1ibzC6.pdb4	168.7
1ibzD1.pdb4	1ibzD3.pdb4	901.25
1ibzA6.pdb4	1ibzD2.pdb4	173.1
1ibzA6.pdb4	1ibzB6.pdb4	920.95
1ibzA6.pdb4	1ibzC6.pdb4	888.35
1ibzA6.pdb4	1ibzD3.pdb4	0.05
1ibzB5.pdb4	1ibzA5.pdb4	920.9
1ibzB5.pdb4	1ibzD3.pdb4	0.05
1ibzA4.pdb4	1ibzD2.pdb4	257.7
1ibzA4.pdb4	1ibzD3.pdb4	173.1
1ibzA4.pdb4	1ibzC4.pdb4	888.35
1ibzA4.pdb4	1ibzB4.pdb4	920.95
1ibzA5.pdb4	1ibzD3.pdb4	257.65
1ibzD2.pdb4	1ibzC6.pdb4	370.55
1ibzD2.pdb4	1ibzD3.pdb4	901.2
1ibzD2.pdb4	1ibzC4.pdb4	168.7
1ibzB6.pdb4	1ibzC6.pdb4	944.45
1ibzB6.pdb4	1ibzD3.pdb4	0.05
1ibzC6.pdb4	1ibzD3.pdb4	0.05
1ibzD3.pdb4	1ibzC4.pdb4	370.55
1ibzD3.pdb4	1ibzB4.pdb4	0.05
1ibzC4.pdb4	1ibzB4.pdb4	944.45
4ibaA2.pdb1	4ibaA1.pdb1	465.4
1ib6B1.pdb1	1ib6A1.pdb1	1476.9
5ibrC1.pdb1	5ibrD1.pdb1	435.8
5ibrC1.pdb1	5ibrA1.pdb1	1581.55
5ibrA1.pdb1	5ibrB1.pdb1	435.8
4iblT1.pdb1	4iblH1.pdb1	574.5
4iblT1.pdb1	4iblL1.pdb1	1323.2
4iblH1.pdb1	4iblL1.pdb1	993.8
5ibuB1.pdb1	5ibuG1.pdb1	1776.25
1ibzD1.pdb2	1ibzD3.pdb2	901.2
1ibzD1.pdb2	1ibzD2.pdb2	901.15
1ibzD3.pdb2	1ibzD2.pdb2	901.2
3ibpA1.pdb1	3ibpA2.pdb1	1374.7
5ibxF1.pdb4	5ibxE1.pdb4	1580.4
5ibtH1.pdb1	5ibtL1.pdb1	1642.3
3ibwB1.pdb1	3ibwA1.pdb1	738.1
2ibgH1.pdb3	2ibgC1.pdb3	541.0
3ibbF1.pdb1	3ibbC1.pdb1	1375.4
3ibbF1.pdb1	3ibbE1.pdb1	1344.2
3ibbF1.pdb1	3ibbB1.pdb1	67.7
3ibbF1.pdb1	3ibbD1.pdb1	108.7
3ibbF1.pdb1	3ibbA1.pdb1	4721.5
3ibbC1.pdb1	3ibbE1.pdb1	1391.95
3ibbC1.pdb1	3ibbB1.pdb1	96.8
3ibbC1.pdb1	3ibbD1.pdb1	4695.5
3ibbC1.pdb1	3ibbA1.pdb1	65.45
3ibbE1.pdb1	3ibbB1.pdb1	4752.15
3ibbE1.pdb1	3ibbD1.pdb1	38.85
3ibbE1.pdb1	3ibbA1.pdb1	45.55
3ibbB1.pdb1	3ibbD1.pdb1	1396.05
3ibbB1.pdb1	3ibbA1.pdb1	1333.5
3ibbD1.pdb1	3ibbA1.pdb1	1354.4
2ibxA1.pdb1	2ibxB1.pdb1	2365.85
2ibxA1.pdb1	2ibxC1.pdb1	428.85
2ibxA1.pdb1	2ibxF1.pdb1	245.2
2ibxA1.pdb1	2ibxE1.pdb1	428.6
2ibxA1.pdb1	2ibxD1.pdb1	279.3
2ibxB1.pdb1	2ibxC1.pdb1	256.85
2ibxB1.pdb1	2ibxF1.pdb1	1277.05
2ibxB1.pdb1	2ibxE1.pdb1	294.0
2ibxB1.pdb1	2ibxD1.pdb1	1299.7
2ibxC1.pdb1	2ibxF1.pdb1	301.5
2ibxC1.pdb1	2ibxE1.pdb1	420.3
2ibxC1.pdb1	2ibxD1.pdb1	2399.1
2ibxF1.pdb1	2ibxE1.pdb1	2407.05
2ibxF1.pdb1	2ibxD1.pdb1	1272.5
2ibxE1.pdb1	2ibxD1.pdb1	253.75
6ibmA1.pdb1	6ibmB1.pdb1	965.0
5ib5B1.pdb1	5ib5A1.pdb1	1344.05
5ib5C1.pdb1	5ib5A1.pdb1	1094.7
5ibcA1.pdb1	5ibcA2.pdb1	2145.3
5ibcA1.pdb1	5ibcB1.pdb1	435.35
5ibcA2.pdb1	5ibcB2.pdb1	435.35
2ib6F1.pdb1	2ib6H1.pdb1	21.6
2ib6F1.pdb1	2ib6D1.pdb1	77.3
2ib6F1.pdb1	2ib6A1.pdb1	1.85
2ib6F1.pdb1	2ib6G1.pdb1	1709.6
2ib6F1.pdb1	2ib6E1.pdb1	1052.9
2ib6H1.pdb1	2ib6G1.pdb1	1066.95
2ib6H1.pdb1	2ib6B1.pdb1	144.95
2ib6H1.pdb1	2ib6E1.pdb1	1716.15
2ib6D1.pdb1	2ib6C1.pdb1	1076.0
2ib6D1.pdb1	2ib6A1.pdb1	1723.35
2ib6D1.pdb1	2ib6B1.pdb1	20.65
2ib6D1.pdb1	2ib6E1.pdb1	9.05
2ib6C1.pdb1	2ib6A1.pdb1	21.5
2ib6C1.pdb1	2ib6B1.pdb1	1725.85
2ib6C1.pdb1	2ib6E1.pdb1	140.55
2ib6A1.pdb1	2ib6G1.pdb1	84.3
2ib6A1.pdb1	2ib6B1.pdb1	1040.55
2ib6G1.pdb1	2ib6B1.pdb1	19.85
2ib6G1.pdb1	2ib6E1.pdb1	21.5
2ib6B1.pdb1	2ib6E1.pdb1	362.45
1ibbA1.pdb1	1ibbA2.pdb1	710.85
1ibuD1.pdb2	1ibuB1.pdb2	318.2
1ibuD1.pdb2	1ibuA1.pdb2	128.15
1ibuD1.pdb2	1ibuF1.pdb2	329.3
1ibuD1.pdb2	1ibuE1.pdb2	543.8
1ibuD1.pdb2	1ibuC1.pdb2	2994.75
1ibuB1.pdb2	1ibuA1.pdb2	2935.8
1ibuB1.pdb2	1ibuF1.pdb2	333.75
1ibuB1.pdb2	1ibuE1.pdb2	129.95
1ibuB1.pdb2	1ibuC1.pdb2	443.4
1ibuA1.pdb2	1ibuF1.pdb2	455.2
1ibuA1.pdb2	1ibuE1.pdb2	512.35
1ibuA1.pdb2	1ibuC1.pdb2	504.7
1ibuF1.pdb2	1ibuE1.pdb2	3024.15
1ibuF1.pdb2	1ibuC1.pdb2	126.25
1ibuE1.pdb2	1ibuC1.pdb2	505.55
2ibyD1.pdb1	2ibyA1.pdb1	304.85
2ibyD1.pdb1	2ibyC1.pdb1	2686.8
2ibyD1.pdb1	2ibyB1.pdb1	598.4
2ibyA1.pdb1	2ibyC1.pdb1	586.2
2ibyA1.pdb1	2ibyB1.pdb1	2623.35
2ibyC1.pdb1	2ibyB1.pdb1	283.1
5ibwA1.pdb1	5ibwB1.pdb1	154.85
5ibwA1.pdb1	5ibwC1.pdb1	1180.7
5ibwB1.pdb1	5ibwC1.pdb1	1118.35
2ib8C1.pdb1	2ib8A1.pdb1	594.35
2ib8C1.pdb1	2ib8D1.pdb1	2719.1
2ib8C1.pdb1	2ib8B1.pdb1	279.0
2ib8A1.pdb1	2ib8D1.pdb1	306.5
2ib8A1.pdb1	2ib8B1.pdb1	2662.5
2ib8D1.pdb1	2ib8B1.pdb1	579.0
4ib9A2.pdb2	4ib9A1.pdb2	665.9
5ibxB1.pdb2	5ibxH1.pdb2	1581.35
2ibgG1.pdb4	2ibgD1.pdb4	607.25
3ibxD1.pdb1	3ibxA2.pdb1	492.3
3ibxD1.pdb1	3ibxA1.pdb1	737.55
3ibxD1.pdb1	3ibxD2.pdb1	882.9
3ibxA2.pdb1	3ibxA1.pdb1	902.75
3ibxA2.pdb1	3ibxD2.pdb1	737.55
3ibxA1.pdb1	3ibxD2.pdb1	492.3
1ibwF2.pdb1	1ibwD2.pdb1	358.4
1ibwF2.pdb1	1ibwA2.pdb1	870.95
1ibwF2.pdb1	1ibwA1.pdb1	151.65
1ibwF2.pdb1	1ibwC2.pdb1	132.1
1ibwF2.pdb1	1ibwB2.pdb1	355.6
1ibwF2.pdb1	1ibwB1.pdb1	206.5
1ibwF2.pdb1	1ibwE2.pdb1	3137.95
1ibwC1.pdb1	1ibwD2.pdb1	150.2
1ibwC1.pdb1	1ibwA1.pdb1	542.1
1ibwC1.pdb1	1ibwD1.pdb1	3138.2
1ibwC1.pdb1	1ibwB1.pdb1	870.4
1ibwC1.pdb1	1ibwE1.pdb1	548.15
1ibwC1.pdb1	1ibwF1.pdb1	132.1
1ibwD2.pdb1	1ibwA2.pdb1	133.95
1ibwD2.pdb1	1ibwC2.pdb1	3138.2
1ibwD2.pdb1	1ibwD1.pdb1	215.4
1ibwD2.pdb1	1ibwB2.pdb1	350.9
1ibwD2.pdb1	1ibwE2.pdb1	889.95
1ibwA2.pdb1	1ibwC2.pdb1	542.05
1ibwA2.pdb1	1ibwB2.pdb1	3136.4
1ibwA2.pdb1	1ibwE2.pdb1	538.95
1ibwA2.pdb1	1ibwF1.pdb1	151.65
1ibwA1.pdb1	1ibwD1.pdb1	133.9
1ibwA1.pdb1	1ibwB1.pdb1	3136.4
1ibwA1.pdb1	1ibwE1.pdb1	539.0
1ibwA1.pdb1	1ibwF1.pdb1	870.9
1ibwC2.pdb1	1ibwD1.pdb1	150.2
1ibwC2.pdb1	1ibwB2.pdb1	870.4
