5l5eU1.pdb1	5l5eM1.pdb1	66.9
5l5eU1.pdb1	5l5eP1.pdb1	136.1
5l5eU1.pdb1	5l5eb1.pdb1	442.75
5l5eL1.pdb1	5l5eD1.pdb1	527.85
5l5eL1.pdb1	5l5eM1.pdb1	959.75
5l5eL1.pdb1	5l5eW1.pdb1	718.1
5l5eZ1.pdb1	5l5eR1.pdb1	531.15
5l5eZ1.pdb1	5l5eH1.pdb1	1469.05
5l5eN1.pdb1	5l5eM1.pdb1	642.9
5l5eN1.pdb1	5l5eH1.pdb1	499.35
5l5eN1.pdb1	5l5eb1.pdb1	638.55
5l5eN1.pdb1	5l5eG1.pdb1	445.4
5l5eO1.pdb1	5l5eT1.pdb1	154.4
5l5eO1.pdb1	5l5eR1.pdb1	26.85
5l5eO1.pdb1	5l5eW1.pdb1	525.25
5l5eO1.pdb1	5l5eP1.pdb1	1356.3
5l5eT1.pdb1	5l5eP1.pdb1	142.65
5l5eT1.pdb1	5l5eb1.pdb1	477.15
5l5eD1.pdb1	5l5eB1.pdb1	124.85
5l5eD1.pdb1	5l5eC1.pdb1	1294.75
5l5eM1.pdb1	5l5eb1.pdb1	1372.35
5l5eR1.pdb1	5l5eP1.pdb1	123.1
5l5eW1.pdb1	5l5eP1.pdb1	477.35
5l5eH1.pdb1	5l5eB1.pdb1	274.65
5l5eH1.pdb1	5l5eG1.pdb1	644.6
5l5eB1.pdb1	5l5eG1.pdb1	129.9
5l5eB1.pdb1	5l5eC1.pdb1	1561.25
5l5vU1.pdb1	5l5vb1.pdb1	455.45
5l5vU1.pdb1	5l5vM1.pdb1	66.25
5l5vU1.pdb1	5l5vT1.pdb1	1374.55
5l5vU1.pdb1	5l5vV1.pdb1	642.05
5l5vU1.pdb1	5l5vO1.pdb1	1417.75
5l5vU1.pdb1	5l5vP1.pdb1	138.2
5l5vB1.pdb1	5l5vH1.pdb1	269.8
5l5vB1.pdb1	5l5vA1.pdb1	1354.05
5l5vB1.pdb1	5l5vI1.pdb1	479.4
5l5vB1.pdb1	5l5vF1.pdb1	142.8
5l5vB1.pdb1	5l5vC1.pdb1	1554.8
5l5vB1.pdb1	5l5vG1.pdb1	132.4
5l5vB1.pdb1	5l5vE1.pdb1	135.7
5l5vB1.pdb1	5l5vD1.pdb1	122.35
5l5vB1.pdb1	5l5vJ1.pdb1	541.45
5l5vb1.pdb1	5l5va1.pdb1	635.7
5l5vb1.pdb1	5l5vM1.pdb1	1334.15
5l5vb1.pdb1	5l5vT1.pdb1	476.95
5l5vb1.pdb1	5l5vV1.pdb1	496.0
5l5vb1.pdb1	5l5vN1.pdb1	643.4
5l5vH1.pdb1	5l5vA1.pdb1	655.25
5l5vH1.pdb1	5l5va1.pdb1	948.1
5l5vH1.pdb1	5l5vI1.pdb1	1649.05
5l5vH1.pdb1	5l5vY1.pdb1	94.3
5l5vH1.pdb1	5l5vZ1.pdb1	1453.65
5l5vH1.pdb1	5l5vG1.pdb1	646.3
5l5vH1.pdb1	5l5vN1.pdb1	487.15
5l5vA1.pdb1	5l5vI1.pdb1	529.6
