1ht5B1.pdb1	1ht5A1.pdb1	2479.8
1ht1E3.pdb1	1ht1E1.pdb1	13.95
1ht1E3.pdb1	1ht1F1.pdb1	2293.95
1ht1E3.pdb1	1ht1E2.pdb1	13.9
1ht1E3.pdb1	1ht1F2.pdb1	0.3
1ht1G2.pdb1	1ht1I2.pdb1	2354.4
1ht1G2.pdb1	1ht1I1.pdb1	2007.75
1ht1G2.pdb1	1ht1Z2.pdb1	187.4
1ht1G2.pdb1	1ht1G1.pdb1	4.7
1ht1B1.pdb1	1ht1A1.pdb1	488.65
1ht1B1.pdb1	1ht1F1.pdb1	263.65
1ht1B1.pdb1	1ht1Y3.pdb1	462.15
1ht1I2.pdb1	1ht1I1.pdb1	8.25
1ht1I2.pdb1	1ht1Y2.pdb1	293.8
1ht1A2.pdb1	1ht1A1.pdb1	6.85
1ht1A2.pdb1	1ht1Z2.pdb1	465.65
1ht1A2.pdb1	1ht1Y2.pdb1	609.7
1ht1A2.pdb1	1ht1E2.pdb1	242.5
1ht1A2.pdb1	1ht1B2.pdb1	488.75
1ht1E1.pdb1	1ht1A1.pdb1	242.45
1ht1E1.pdb1	1ht1F1.pdb1	2103.25
1ht1E1.pdb1	1ht1E2.pdb1	13.95
1ht1E1.pdb1	1ht1F2.pdb1	2293.95
1ht1A1.pdb1	1ht1Y1.pdb1	609.6
1ht1A1.pdb1	1ht1B2.pdb1	627.9
1ht1F1.pdb1	1ht1E2.pdb1	0.35
1ht1F1.pdb1	1ht1F2.pdb1	9.0
1ht1I1.pdb1	1ht1Y1.pdb1	293.8
1ht1I1.pdb1	1ht1G1.pdb1	2354.4
1ht1Z2.pdb1	1ht1Z3.pdb1	10.3
1ht1Z2.pdb1	1ht1Y1.pdb1	669.1
1ht1Z2.pdb1	1ht1Y2.pdb1	440.05
1ht1Z2.pdb1	1ht1B2.pdb1	660.45
1ht1Y3.pdb1	1ht1Z3.pdb1	439.95
1ht1Z3.pdb1	1ht1Y2.pdb1	669.1
1ht1Y1.pdb1	1ht1B2.pdb1	462.25
1ht1E2.pdb1	1ht1F2.pdb1	2103.2
1ht1F2.pdb1	1ht1B2.pdb1	263.65
4ht5D1.pdb1	4ht5F1.pdb1	830.65
4ht5D1.pdb1	4ht5C1.pdb1	26.5
4ht5D1.pdb1	4ht5E1.pdb1	853.05
4ht5D1.pdb1	4ht5A1.pdb1	1194.4
4ht5D1.pdb1	4ht5B1.pdb1	199.3
4ht5F1.pdb1	4ht5C1.pdb1	1102.45
4ht5F1.pdb1	4ht5E1.pdb1	782.1
4ht5F1.pdb1	4ht5A1.pdb1	215.35
4ht5F1.pdb1	4ht5B1.pdb1	14.5
4ht5C1.pdb1	4ht5E1.pdb1	194.5
4ht5C1.pdb1	4ht5A1.pdb1	950.55
4ht5C1.pdb1	4ht5B1.pdb1	959.35
4ht5E1.pdb1	4ht5A1.pdb1	21.2
4ht5E1.pdb1	4ht5B1.pdb1	1131.3
4ht5A1.pdb1	4ht5B1.pdb1	966.9
3htjB1.pdb1	3htjA1.pdb1	1670.15
1htfA1.pdb1	1htfB1.pdb1	1777.3
1ht0B1.pdb1	1ht0A1.pdb1	1638.35
4htxA1.pdb1	4htxC1.pdb1	1132.5
3ht2A1.pdb1	3ht2C1.pdb1	1631.8
6htdH1.pdb1	6htdY1.pdb1	59.25
6htdH1.pdb1	6htdI1.pdb1	1616.65
6htdH1.pdb1	6htdA1.pdb1	311.3
6htdH1.pdb1	6htda1.pdb1	635.85
6htdH1.pdb1	6htdN1.pdb1	555.45
6htdH1.pdb1	6htdG1.pdb1	624.85
6htdH1.pdb1	6htdZ1.pdb1	1364.25
6htdJ1.pdb1	6htdY1.pdb1	765.45
6htdJ1.pdb1	6htdB1.pdb1	543.25
6htdJ1.pdb1	6htdC1.pdb1	403.75
6htdJ1.pdb1	6htdX1.pdb1	730.3
6htdJ1.pdb1	6htdI1.pdb1	587.95
6htdJ1.pdb1	6htdK1.pdb1	626.85
6htdY1.pdb1	6htdX1.pdb1	627.75
6htdY1.pdb1	6htdQ1.pdb1	303.25
6htdY1.pdb1	6htdI1.pdb1	1004.45
6htdY1.pdb1	6htdR1.pdb1	425.45
6htdY1.pdb1	6htdZ1.pdb1	696.5
6htdb1.pdb1	6htdT1.pdb1	476.0
6htdb1.pdb1	6htda1.pdb1	628.15
6htdb1.pdb1	6htdN1.pdb1	642.45
6htdb1.pdb1	6htdM1.pdb1	957.8
6htdb1.pdb1	6htdU1.pdb1	445.45
6htdb1.pdb1	6htdV1.pdb1	552.75
6htdB1.pdb1	6htdF1.pdb1	143.25
6htdB1.pdb1	6htdC1.pdb1	1550.3
6htdB1.pdb1	6htdI1.pdb1	480.45
6htdB1.pdb1	6htdA1.pdb1	1406.65
6htdB1.pdb1	6htdD1.pdb1	119.4
6htdB1.pdb1	6htdE1.pdb1	136.5
6htdB1.pdb1	6htdG1.pdb1	131.35
6htdP1.pdb1	6htdT1.pdb1	140.6
6htdP1.pdb1	6htdO1.pdb1	1401.4
6htdP1.pdb1	6htdX1.pdb1	544.55
6htdP1.pdb1	6htdW1.pdb1	482.85
6htdP1.pdb1	6htdQ1.pdb1	1530.95
6htdP1.pdb1	6htdU1.pdb1	138.5
6htdP1.pdb1	6htdS1.pdb1	127.65
6htdP1.pdb1	6htdR1.pdb1	122.75
6htdF1.pdb1	6htdA1.pdb1	157.05
6htdF1.pdb1	6htdN1.pdb1	478.55
6htdF1.pdb1	6htdM1.pdb1	467.75
6htdF1.pdb1	6htdE1.pdb1	1322.75
6htdF1.pdb1	6htdG1.pdb1	1370.3
6htdT1.pdb1	6htdO1.pdb1	156.35
6htdT1.pdb1	6htda1.pdb1	461.5
6htdT1.pdb1	6htdU1.pdb1	1371.25
6htdT1.pdb1	6htdS1.pdb1	1336.1
6htdC1.pdb1	6htdA1.pdb1	97.7
6htdC1.pdb1	6htdK1.pdb1	307.3
6htdC1.pdb1	6htdD1.pdb1	1280.05
6htdO1.pdb1	6htdW1.pdb1	530.1
6htdO1.pdb1	6htdQ1.pdb1	105.45
6htdO1.pdb1	6htdU1.pdb1	1419.0
6htdO1.pdb1	6htdS1.pdb1	46.1
6htdO1.pdb1	6htdR1.pdb1	32.15
6htdO1.pdb1	6htdV1.pdb1	316.35
6htdX1.pdb1	6htdW1.pdb1	584.3
6htdX1.pdb1	6htdQ1.pdb1	403.3
6htdX1.pdb1	6htdK1.pdb1	766.45
6htdW1.pdb1	6htdL1.pdb1	722.9
6htdW1.pdb1	6htdK1.pdb1	1008.1
6htdW1.pdb1	6htdV1.pdb1	1609.35
