2xkmA28.pdb1	2xkmA11.pdb1	209.75
2xkmA28.pdb1	2xkmA29.pdb1	6.6
2xkmA28.pdb1	2xkmA6.pdb1	1.35
2xkmA18.pdb1	2xkmA12.pdb1	709.45
2xkmA18.pdb1	2xkmA1.pdb1	209.75
2xkmA18.pdb1	2xkmA24.pdb1	709.45
2xkmA18.pdb1	2xkmA19.pdb1	6.65
2xkmA18.pdb1	2xkmA23.pdb1	307.9
2xkmA18.pdb1	2xkmA13.pdb1	307.95
2xkmA18.pdb1	2xkmA17.pdb1	6.6
2xkmA18.pdb1	2xkmA7.pdb1	608.2
2xkmA18.pdb1	2xkmA29.pdb1	608.2
2xkmA20.pdb1	2xkmA21.pdb1	6.6
2xkmA20.pdb1	2xkmA19.pdb1	6.65
2xkmA20.pdb1	2xkmA15.pdb1	307.95
2xkmA20.pdb1	2xkmA26.pdb1	709.5
2xkmA20.pdb1	2xkmA14.pdb1	709.45
2xkmA20.pdb1	2xkmA25.pdb1	307.9
2xkmA33.pdb1	2xkmA27.pdb1	709.5
2xkmA33.pdb1	2xkmA34.pdb1	6.65
2xkmA33.pdb1	2xkmA32.pdb1	6.6
2xkmA33.pdb1	2xkmA22.pdb1	608.2
2xkmA33.pdb1	2xkmA11.pdb1	1.4
2xkmA33.pdb1	2xkmA16.pdb1	209.8
2xkmA27.pdb1	2xkmA21.pdb1	709.5
2xkmA27.pdb1	2xkmA32.pdb1	307.95
2xkmA27.pdb1	2xkmA22.pdb1	307.9
2xkmA27.pdb1	2xkmA26.pdb1	6.6
2xkmA27.pdb1	2xkmA10.pdb1	209.8
2xkmA27.pdb1	2xkmA5.pdb1	1.4
2xkmA27.pdb1	2xkmA16.pdb1	608.25
2xkmA12.pdb1	2xkmA34.pdb1	1.4
2xkmA12.pdb1	2xkmA1.pdb1	608.2
2xkmA12.pdb1	2xkmA23.pdb1	608.15
2xkmA12.pdb1	2xkmA13.pdb1	6.65
2xkmA12.pdb1	2xkmA17.pdb1	308.0
2xkmA12.pdb1	2xkmA7.pdb1	308.0
2xkmA12.pdb1	2xkmA11.pdb1	6.6
2xkmA12.pdb1	2xkmA29.pdb1	209.7
2xkmA12.pdb1	2xkmA6.pdb1	709.5
2xkmA34.pdb1	2xkmA23.pdb1	608.25
2xkmA34.pdb1	2xkmA17.pdb1	209.8
2xkmA34.pdb1	2xkmA29.pdb1	307.95
2xkmA21.pdb1	2xkmA4.pdb1	209.8
2xkmA21.pdb1	2xkmA32.pdb1	608.2
2xkmA21.pdb1	2xkmA22.pdb1	6.6
2xkmA21.pdb1	2xkmA15.pdb1	709.45
2xkmA21.pdb1	2xkmA26.pdb1	307.95
2xkmA21.pdb1	2xkmA10.pdb1	608.15
2xkmA21.pdb1	2xkmA16.pdb1	307.95
2xkmA4.pdb1	2xkmA15.pdb1	608.25
2xkmA4.pdb1	2xkmA26.pdb1	1.4
2xkmA4.pdb1	2xkmA10.pdb1	709.5
2xkmA4.pdb1	2xkmA5.pdb1	6.65
2xkmA32.pdb1	2xkmA15.pdb1	209.75
2xkmA32.pdb1	2xkmA26.pdb1	709.55
2xkmA32.pdb1	2xkmA10.pdb1	1.4
2xkmA1.pdb1	2xkmA23.pdb1	1.4
2xkmA1.pdb1	2xkmA2.pdb1	6.6
2xkmA1.pdb1	2xkmA7.pdb1	709.5
2xkmA1.pdb1	2xkmA6.pdb1	307.95
2xkmA24.pdb1	2xkmA30.pdb1	709.45
2xkmA24.pdb1	2xkmA19.pdb1	307.95
2xkmA24.pdb1	2xkmA23.pdb1	6.6
2xkmA24.pdb1	2xkmA13.pdb1	608.2
2xkmA24.pdb1	2xkmA2.pdb1	1.35
2xkmA24.pdb1	2xkmA7.pdb1	209.8
2xkmA24.pdb1	2xkmA25.pdb1	6.6
2xkmA24.pdb1	2xkmA29.pdb1	307.9
2xkmA30.pdb1	2xkmA19.pdb1	608.2
2xkmA30.pdb1	2xkmA13.pdb1	209.8
2xkmA30.pdb1	2xkmA8.pdb1	1.4
2xkmA30.pdb1	2xkmA25.pdb1	307.9
2xkmA30.pdb1	2xkmA29.pdb1	6.6
2xkmA19.pdb1	2xkmA13.pdb1	709.55
2xkmA19.pdb1	2xkmA2.pdb1	209.75
2xkmA19.pdb1	2xkmA14.pdb1	308.0
2xkmA19.pdb1	2xkmA8.pdb1	608.2
2xkmA19.pdb1	2xkmA25.pdb1	709.5
2xkmA22.pdb1	2xkmA23.pdb1	6.6
2xkmA22.pdb1	2xkmA17.pdb1	307.95
2xkmA22.pdb1	2xkmA11.pdb1	608.2
2xkmA22.pdb1	2xkmA5.pdb1	209.75
2xkmA22.pdb1	2xkmA16.pdb1	709.45
2xkmA23.pdb1	2xkmA17.pdb1	709.5
2xkmA23.pdb1	2xkmA29.pdb1	709.45
2xkmA23.pdb1	2xkmA6.pdb1	209.75
2xkmA13.pdb1	2xkmA2.pdb1	608.2
2xkmA13.pdb1	2xkmA14.pdb1	6.65
2xkmA13.pdb1	2xkmA7.pdb1	709.55
2xkmA13.pdb1	2xkmA8.pdb1	308.0
2xkmA15.pdb1	2xkmA26.pdb1	608.25
2xkmA15.pdb1	2xkmA10.pdb1	307.95
2xkmA15.pdb1	2xkmA14.pdb1	6.65
2xkmA15.pdb1	2xkmA16.pdb1	6.65
2xkmA26.pdb1	2xkmA25.pdb1	6.65
2xkmA10.pdb1	2xkmA11.pdb1	6.6
2xkmA10.pdb1	2xkmA5.pdb1	307.95
2xkmA10.pdb1	2xkmA16.pdb1	709.55
2xkmA2.pdb1	2xkmA7.pdb1	308.0
2xkmA2.pdb1	2xkmA8.pdb1	709.45
2xkmA14.pdb1	2xkmA8.pdb1	709.55
2xkmA14.pdb1	2xkmA25.pdb1	608.25
2xkmA17.pdb1	2xkmA11.pdb1	709.5
2xkmA17.pdb1	2xkmA16.pdb1	6.65
2xkmA17.pdb1	2xkmA6.pdb1	608.25
2xkmA7.pdb1	2xkmA8.pdb1	6.65
2xkmA7.pdb1	2xkmA29.pdb1	1.35
2xkmA7.pdb1	2xkmA6.pdb1	6.6
2xkmA8.pdb1	2xkmA25.pdb1	209.8
2xkmA11.pdb1	2xkmA5.pdb1	709.45
2xkmA11.pdb1	2xkmA16.pdb1	307.9
2xkmA11.pdb1	2xkmA6.pdb1	307.9
2xkmA5.pdb1	2xkmA16.pdb1	608.2
2xkmA5.pdb1	2xkmA6.pdb1	6.6
4xkdD1.pdb1	4xkdC1.pdb1	2619.4
4xkdD1.pdb1	4xkdE1.pdb1	280.75
4xkdD1.pdb1	4xkdB1.pdb1	1236.15
4xkdD1.pdb1	4xkdF1.pdb1	1217.55
4xkdD1.pdb1	4xkdA1.pdb1	298.4
4xkdC1.pdb1	4xkdE1.pdb1	451.9
4xkdC1.pdb1	4xkdB1.pdb1	259.55
4xkdC1.pdb1	4xkdF1.pdb1	309.35
4xkdC1.pdb1	4xkdA1.pdb1	448.25
4xkdE1.pdb1	4xkdB1.pdb1	297.45
4xkdE1.pdb1	4xkdF1.pdb1	2625.45
4xkdE1.pdb1	4xkdA1.pdb1	487.0
4xkdB1.pdb1	4xkdF1.pdb1	1195.1
4xkdB1.pdb1	4xkdA1.pdb1	2660.1
4xkdF1.pdb1	4xkdA1.pdb1	271.8
4xk1B1.pdb1	4xk1A1.pdb1	1924.45
5xk3B1.pdb1	5xk3A1.pdb1	1817.9
2xknB1.pdb2	2xknA1.pdb2	1591.6
4xk2B2.pdb2	4xk2B7.pdb2	149.2
4xk2B2.pdb2	4xk2B6.pdb2	1867.8
4xk2B2.pdb2	4xk2B4.pdb2	622.45
4xk2B2.pdb2	4xk2B3.pdb2	622.45
4xk2B1.pdb2	4xk2B5.pdb2	1867.8
4xk2B1.pdb2	4xk2B8.pdb2	149.2
4xk2B1.pdb2	4xk2B4.pdb2	622.45
4xk2B1.pdb2	4xk2B3.pdb2	622.45
4xk2B7.pdb2	4xk2B6.pdb2	622.45
4xk2B7.pdb2	4xk2B5.pdb2	622.45
4xk2B7.pdb2	4xk2B4.pdb2	1867.8
4xk2B6.pdb2	4xk2B8.pdb2	622.45
4xk2B6.pdb2	4xk2B3.pdb2	149.2
4xk2B5.pdb2	4xk2B8.pdb2	622.45
4xk2B5.pdb2	4xk2B4.pdb2	149.2
4xk2B8.pdb2	4xk2B3.pdb2	1867.8
5xknE1.pdb1	5xknB1.pdb1	926.75
5xk9H1.pdb4	5xk9G1.pdb4	1779.05
1xkbC1.pdb1	1xkbA1.pdb1	858.85
5xkaB1.pdb1	5xkaA1.pdb1	596.3
1xk6C1.pdb1	1xk6A1.pdb1	5522.0
5xkmC1.pdb2	5xkmB1.pdb2	1391.0
4xkgF1.pdb1	4xkgB1.pdb1	1183.5
4xkgF1.pdb1	4xkgA1.pdb1	272.0
4xkgF1.pdb1	4xkgE1.pdb1	2646.0
4xkgF1.pdb1	4xkgD1.pdb1	1223.0
4xkgF1.pdb1	4xkgC1.pdb1	301.0
4xkgB1.pdb1	4xkgA1.pdb1	2660.2
4xkgB1.pdb1	4xkgE1.pdb1	299.0
4xkgB1.pdb1	4xkgD1.pdb1	1263.15
