1c2bA3.pdb1	1c2bA4.pdb1	894.4
1c2bA2.pdb1	1c2bA1.pdb1	894.4
1c2bA2.pdb1	1c2bA4.pdb1	230.75
2c2yA1.pdb1	2c2yA2.pdb1	1681.3
4c2bH1.pdb4	4c2bG1.pdb4	1041.75
2c2iB1.pdb1	2c2iA1.pdb1	1671.85
4c2fA1.pdb1	4c2fC1.pdb1	484.3
4c2fA1.pdb1	4c2fB1.pdb1	247.55
5c2iC1.pdb1	5c2iA1.pdb1	701.7
5c2iC1.pdb1	5c2iD1.pdb1	1144.25
5c2iB1.pdb1	5c2iA1.pdb1	1147.4
5c2iB1.pdb1	5c2iD1.pdb1	710.55
6c2gC2.pdb1	6c2gA1.pdb1	1702.85
3c2wE1.pdb1	3c2wF1.pdb1	2082.4
6c28B2.pdb1	6c28C1.pdb1	2702.05
3c2gA1.pdb1	3c2gC1.pdb1	561.4
4c2kD1.pdb2	4c2kC1.pdb2	2932.55
5c2nN1.pdb3	5c2nM1.pdb3	607.4
5c2nN1.pdb3	5c2nL1.pdb3	618.35
5c2nM1.pdb3	5c2nO1.pdb3	620.85
5c2nK1.pdb3	5c2nO1.pdb3	612.65
5c2nK1.pdb3	5c2nL1.pdb3	619.3
5c26B1.pdb1	5c26A1.pdb1	310.85
3c23B4.pdb1	3c23B3.pdb1	0.05
3c23B4.pdb1	3c23B2.pdb1	477.45
3c23B4.pdb1	3c23A4.pdb1	1302.8
3c23B4.pdb1	3c23A3.pdb1	1337.0
3c23B4.pdb1	3c23A1.pdb1	555.25
3c23A2.pdb1	3c23B3.pdb1	555.3
3c23A2.pdb1	3c23B2.pdb1	1302.8
3c23A2.pdb1	3c23A3.pdb1	461.2
3c23A2.pdb1	3c23B1.pdb1	1337.0
3c23B3.pdb1	3c23B2.pdb1	0.05
3c23B3.pdb1	3c23A4.pdb1	1337.05
3c23B3.pdb1	3c23A3.pdb1	1302.85
3c23B3.pdb1	3c23B1.pdb1	477.5
3c23B3.pdb1	3c23A1.pdb1	0.05
3c23B2.pdb1	3c23A3.pdb1	555.3
3c23B2.pdb1	3c23A1.pdb1	1337.0
