1tr0H1.pdb1	1tr0E1.pdb1	96.0
1tr0H1.pdb1	1tr0I1.pdb1	490.25
1tr0H1.pdb1	1tr0J1.pdb1	524.15
1tr0E1.pdb1	1tr0D1.pdb1	485.95
1tr0I1.pdb1	1tr0K1.pdb1	534.7
1tr0I1.pdb1	1tr0J1.pdb1	1602.95
1tr0K1.pdb1	1tr0J1.pdb1	493.7
3tr9A1.pdb2	3tr9C2.pdb2	1414.5
3tr9D1.pdb1	3tr9C1.pdb1	17.0
3tr9D1.pdb1	3tr9B1.pdb1	242.3
3tr9C1.pdb1	3tr9A1.pdb1	452.4
3tr9A1.pdb1	3tr9B1.pdb1	586.55
1trzA4.pdb5	1trzB4.pdb5	803.5
1trzA4.pdb5	1trzD1.pdb5	90.05
1trzA4.pdb5	1trzC3.pdb5	19.0
1trzA6.pdb5	1trzC2.pdb5	18.95
1trzA6.pdb5	1trzD3.pdb5	89.95
1trzA6.pdb5	1trzB6.pdb5	803.45
1trzC2.pdb5	1trzD3.pdb5	137.0
1trzC2.pdb5	1trzB6.pdb5	35.65
1trzC2.pdb5	1trzB5.pdb5	12.3
1trzC2.pdb5	1trzD2.pdb5	593.1
1trzB4.pdb5	1trzC1.pdb5	12.35
1trzB4.pdb5	1trzD1.pdb5	85.9
1trzB4.pdb5	1trzC3.pdb5	35.7
1trzB4.pdb5	1trzB6.pdb5	68.65
1trzB4.pdb5	1trzB5.pdb5	68.7
1trzC1.pdb5	1trzD1.pdb5	593.05
1trzC1.pdb5	1trzB5.pdb5	35.7
1trzC1.pdb5	1trzD2.pdb5	137.05
1trzC1.pdb5	1trzA5.pdb5	18.95
1trzD1.pdb5	1trzC3.pdb5	137.05
1trzD1.pdb5	1trzD3.pdb5	136.25
1trzD1.pdb5	1trzD2.pdb5	136.3
1trzC3.pdb5	1trzD3.pdb5	593.1
1trzC3.pdb5	1trzB6.pdb5	12.35
1trzD3.pdb5	1trzB6.pdb5	85.9
1trzD3.pdb5	1trzD2.pdb5	136.3
1trzB6.pdb5	1trzB5.pdb5	68.7
1trzB5.pdb5	1trzD2.pdb5	85.95
1trzB5.pdb5	1trzA5.pdb5	803.55
1trzD2.pdb5	1trzA5.pdb5	90.05
4trpL1.pdb1	4trpH1.pdb1	1668.7
1trzB2.pdb3	1trzB3.pdb3	68.7
1trzB2.pdb3	1trzB1.pdb3	68.7
1trzB2.pdb3	1trzD2.pdb3	624.6
1trzB2.pdb3	1trzA2.pdb3	803.55
1trzB2.pdb3	1trzC2.pdb3	25.0
1trzB2.pdb3	1trzD1.pdb3	284.75
1trzB2.pdb3	1trzC1.pdb3	115.9
1trzA3.pdb3	1trzB3.pdb3	803.45
1trzA3.pdb3	1trzC2.pdb3	59.6
1trzA3.pdb3	1trzD3.pdb3	62.45
1trzB3.pdb3	1trzB1.pdb3	68.65
1trzB3.pdb3	1trzD2.pdb3	284.8
1trzB3.pdb3	1trzC3.pdb3	25.0
1trzB3.pdb3	1trzC2.pdb3	115.85
1trzB3.pdb3	1trzD3.pdb3	624.55
1trzA1.pdb3	1trzB1.pdb3	803.5
1trzA1.pdb3	1trzC3.pdb3	59.7
1trzA1.pdb3	1trzD1.pdb3	62.5
1trzB1.pdb3	1trzC3.pdb3	115.9
1trzB1.pdb3	1trzD1.pdb3	624.55
1trzB1.pdb3	1trzC1.pdb3	24.95
1trzB1.pdb3	1trzD3.pdb3	284.75
1trzD2.pdb3	1trzA2.pdb3	62.5
1trzD2.pdb3	1trzC2.pdb3	593.1
1trzD2.pdb3	1trzD1.pdb3	136.3
1trzD2.pdb3	1trzC1.pdb3	137.05
1trzD2.pdb3	1trzD3.pdb3	136.3
1trzC3.pdb3	1trzD1.pdb3	137.05
1trzC3.pdb3	1trzD3.pdb3	593.1
1trzA2.pdb3	1trzC1.pdb3	59.6
1trzC2.pdb3	1trzD3.pdb3	137.0
1trzD1.pdb3	1trzC1.pdb3	593.05
1trzD1.pdb3	1trzD3.pdb3	136.25
1trdA2.pdb1	1trdA1.pdb1	1531.25
1trzD1.pdb8	1trzC1.pdb8	593.05
1trzD1.pdb8	1trzC3.pdb8	137.05
1trzD1.pdb8	1trzD3.pdb8	136.25
1trzD1.pdb8	1trzD2.pdb8	136.3
1trzC1.pdb8	1trzD2.pdb8	137.05
1trzC3.pdb8	1trzD3.pdb8	593.1
1trzD3.pdb8	1trzD2.pdb8	136.3
1trzD3.pdb8	1trzC2.pdb8	137.0
1trzD2.pdb8	1trzC2.pdb8	593.1
1trmA1.pdb1	1trmB1.pdb1	187.15
3tr8B1.pdb1	3tr8A1.pdb1	1625.3
5trgQ1.pdb1	5trgP1.pdb1	795.35
5trgQ1.pdb1	5trgX1.pdb1	631.85
5trgQ1.pdb1	5trgY1.pdb1	394.3
5trgQ1.pdb1	5trgR1.pdb1	846.95
5trgI1.pdb1	5trgB1.pdb1	615.45
5trgI1.pdb1	5trgA1.pdb1	398.0
5trgI1.pdb1	5trgX1.pdb1	730.5
5trgI1.pdb1	5trgH1.pdb1	488.65
5trgI1.pdb1	5trgY1.pdb1	459.0
5trgI1.pdb1	5trgJ1.pdb1	512.45
5trgD1.pdb1	5trgL1.pdb1	395.85
5trgD1.pdb1	5trgC1.pdb1	837.35
5trgD1.pdb1	5trgK1.pdb1	620.9
5trgD1.pdb1	5trgE1.pdb1	817.75
5trgT1.pdb1	5trgb1.pdb1	402.4
5trgT1.pdb1	5trgS1.pdb1	873.7
5trgT1.pdb1	5trgU1.pdb1	781.25
5trgT1.pdb1	5trga1.pdb1	621.85
5trgZ1.pdb1	5trgS1.pdb1	631.05
5trgZ1.pdb1	5trga1.pdb1	462.45
5trgZ1.pdb1	5trgN1.pdb1	713.6
5trgZ1.pdb1	5trgH1.pdb1	452.6
5trgZ1.pdb1	5trgY1.pdb1	467.4
5trgZ1.pdb1	5trgR1.pdb1	394.45
5trgb1.pdb1	5trgL1.pdb1	719.05
5trgb1.pdb1	5trgU1.pdb1	599.15
5trgb1.pdb1	5trga1.pdb1	481.8
