5wpnA13.pdb1	5wpnA3.pdb1	560.0
5wpnA13.pdb1	5wpnA14.pdb1	27.5
5wpnA13.pdb1	5wpnA4.pdb1	560.0
5wpnA13.pdb1	5wpnA19.pdb1	750.35
5wpnA10.pdb1	5wpnA1.pdb1	750.8
5wpnA10.pdb1	5wpnA9.pdb1	26.7
5wpnA10.pdb1	5wpnA15.pdb1	1569.65
5wpnA10.pdb1	5wpnA7.pdb1	751.5
5wpnA1.pdb1	5wpnA15.pdb1	560.05
5wpnA1.pdb1	5wpnA7.pdb1	750.4
5wpnA12.pdb1	5wpnA8.pdb1	751.5
5wpnA12.pdb1	5wpnA20.pdb1	559.5
5wpnA12.pdb1	5wpnA11.pdb1	26.7
5wpnA12.pdb1	5wpnA4.pdb1	750.85
5wpnA12.pdb1	5wpnA19.pdb1	560.25
5wpnA3.pdb1	5wpnA14.pdb1	560.0
5wpnA3.pdb1	5wpnA9.pdb1	750.85
5wpnA3.pdb1	5wpnA6.pdb1	750.4
5wpnA3.pdb1	5wpnA4.pdb1	27.6
5wpnA8.pdb1	5wpnA20.pdb1	1568.2
5wpnA8.pdb1	5wpnA7.pdb1	27.1
5wpnA8.pdb1	5wpnA4.pdb1	750.4
5wpnA14.pdb1	5wpnA9.pdb1	1569.65
5wpnA14.pdb1	5wpnA4.pdb1	560.0
5wpnA5.pdb1	5wpnA11.pdb1	751.5
5wpnA5.pdb1	5wpnA21.pdb1	560.25
5wpnA5.pdb1	5wpnA6.pdb1	27.1
5wpnA5.pdb1	5wpnA19.pdb1	1568.2
5wpnA20.pdb1	5wpnA11.pdb1	560.25
5wpnA20.pdb1	5wpnA19.pdb1	27.1
5wpnA11.pdb1	5wpnA19.pdb1	559.45
5wpnA9.pdb1	5wpnA6.pdb1	751.5
5wpnA21.pdb1	5wpnA15.pdb1	750.8
5wpnA21.pdb1	5wpnA6.pdb1	559.45
2wpoC1.pdb2	2wpoD1.pdb2	1546.95
5wp3B1.pdb1	5wp3A1.pdb1	903.45
3wp0B1.pdb1	3wp0A1.pdb1	538.85
1wpbJ2.pdb4	1wpbO1.pdb4	1241.35
1wpbJ2.pdb4	1wpbN2.pdb4	43.05
1wpbJ2.pdb4	1wpbK1.pdb4	1236.5
1wpbO1.pdb4	1wpbN2.pdb4	1233.65
1wpbO1.pdb4	1wpbK1.pdb4	40.85
1wpbN2.pdb4	1wpbK1.pdb4	1292.0
5wphB1.pdb1	5wphA1.pdb1	1697.95
4wp5A1.pdb1	4wp5B1.pdb1	2005.6
4wpbC1.pdb1	4wpbA1.pdb1	458.8
4wpbC1.pdb1	4wpbB1.pdb1	269.5
4wpbA1.pdb1	4wpbD1.pdb1	222.9
4wpbA1.pdb1	4wpbB1.pdb1	1166.85
4wpbD1.pdb1	4wpbB1.pdb1	481.0
2wpmL1.pdb1	2wpmS1.pdb1	368.35
2wpmS1.pdb1	2wpmE1.pdb1	769.4
4wpnA4.pdb1	4wpnA3.pdb1	2761.0
4wpnA4.pdb1	4wpnA1.pdb1	232.05
4wpnA2.pdb1	4wpnA3.pdb1	232.05
4wpnA2.pdb1	4wpnA1.pdb1	2761.0
4wpfE1.pdb2	4wpfD1.pdb2	518.5
1wpbP2.pdb5	1wpbL2.pdb5	47.85
1wpbP2.pdb5	1wpbM1.pdb5	1267.05
1wpbP2.pdb5	1wpbI1.pdb5	1256.65
1wpbL2.pdb5	1wpbM1.pdb5	1220.05
1wpbL2.pdb5	1wpbI1.pdb5	1298.5
1wpbM1.pdb5	1wpbI1.pdb5	49.75
1wp4D1.pdb1	1wp4C1.pdb1	2529.8
1wp4D1.pdb1	1wp4B1.pdb1	347.05
1wp4D1.pdb1	1wp4A1.pdb1	644.35
1wp4C1.pdb1	1wp4B1.pdb1	640.9
1wp4C1.pdb1	1wp4A1.pdb1	340.55
1wp4B1.pdb1	1wp4A1.pdb1	2460.5
2wp9I1.pdb3	2wp9J1.pdb3	2398.85
2wp9I1.pdb3	2wp9K1.pdb3	49.5
2wp9J1.pdb3	2wp9L1.pdb3	523.25
2wp9J1.pdb3	2wp9K1.pdb3	1164.0
2wp9L1.pdb3	2wp9K1.pdb3	1126.8
2wpaB1.pdb1	2wpaA1.pdb1	1511.9
2wpfC1.pdb1	2wpfD1.pdb1	3263.3
1wp8B1.pdb1	1wp8C1.pdb1	893.9
1wp8B1.pdb1	1wp8A1.pdb1	931.25
1wp8C1.pdb1	1wp8A1.pdb1	970.3
4wpyA2.pdb1	4wpyA1.pdb1	2025.0
2wp6C1.pdb1	2wp6D1.pdb1	3296.6
1wpsA1.pdb1	1wpsB1.pdb1	1039.75
1wpsA1.pdb1	1wpsA3.pdb1	508.9
1wpsA1.pdb1	1wpsA2.pdb1	507.95
1wpsA1.pdb1	1wpsB2.pdb1	251.35
1wpsB3.pdb1	1wpsB1.pdb1	611.9
1wpsB3.pdb1	1wpsA3.pdb1	1038.2
1wpsB3.pdb1	1wpsA2.pdb1	250.45
1wpsB3.pdb1	1wpsB2.pdb1	612.25
1wpsB1.pdb1	1wpsA3.pdb1	250.6
1wpsB1.pdb1	1wpsB2.pdb1	613.4
1wpsA3.pdb1	1wpsA2.pdb1	507.85
1wpsA2.pdb1	1wpsB2.pdb1	1040.85
2wpcB1.pdb1	2wpcA1.pdb1	3288.25
4wpmA1.pdb1	4wpmB1.pdb1	348.55
2wp2B1.pdb2	2wp2Q1.pdb2	301.05
2wplS1.pdb1	2wplE1.pdb1	782.05
2wplS1.pdb1	2wplL1.pdb1	311.25
1wpyA1.pdb1	1wpyB1.pdb1	784.35
2wpzA1.pdb1	2wpzC1.pdb1	716.55
2wpzA1.pdb1	2wpzB1.pdb1	675.45
2wpzC1.pdb1	2wpzB1.pdb1	774.45
2wp0C2.pdb1	2wp0B1.pdb1	185.25
2wp0C2.pdb1	2wp0A2.pdb1	474.4
2wp0A1.pdb1	2wp0B2.pdb1	839.2
2wp0A1.pdb1	2wp0B1.pdb1	2178.7
2wp0A1.pdb1	2wp0C1.pdb1	474.45
2wp0A1.pdb1	2wp0D2.pdb1	194.95
2wp0B2.pdb1	2wp0C1.pdb1	185.25
2wp0B2.pdb1	2wp0D2.pdb1	472.6
2wp0B2.pdb1	2wp0A2.pdb1	2178.7
2wp0B1.pdb1	2wp0A2.pdb1	839.2
2wp0B1.pdb1	2wp0D1.pdb1	472.6
2wp0A2.pdb1	2wp0D1.pdb1	194.95
2wpqB1.pdb1	2wpqA1.pdb1	1845.35
2wpqB1.pdb1	2wpqC1.pdb1	1927.65
2wpqA1.pdb1	2wpqC1.pdb1	1867.75
5wpvA1.pdb1	5wpvC1.pdb1	26.55
5wpvA1.pdb1	5wpvB1.pdb1	3444.1
5wpvA1.pdb1	5wpvD1.pdb1	3436.55
5wpvC1.pdb1	5wpvB1.pdb1	3439.2
5wpvC1.pdb1	5wpvD1.pdb1	3427.55
5wpvB1.pdb1	5wpvD1.pdb1	23.4
2wpsB1.pdb1	2wpsA1.pdb1	1847.7
2wpsB1.pdb1	2wpsC1.pdb1	1879.8
2wpsA1.pdb1	2wpsC1.pdb1	1872.7
2wpyA2.pdb1	2wpyA3.pdb1	705.4
2wpyA2.pdb1	2wpyA1.pdb1	705.4
2wpyA3.pdb1	2wpyA1.pdb1	705.45
4wpfA1.pdb1	4wpfB1.pdb1	515.7
2wptA1.pdb1	2wptB1.pdb1	790.9
1wpwB1.pdb1	1wpwA1.pdb1	1812.3
1wpwB1.pdb1	1wpwB2.pdb1	412.7
1wpwB1.pdb1	1wpwA2.pdb1	126.55
1wpwA1.pdb1	1wpwB2.pdb1	126.55
1wpwA1.pdb1	1wpwA2.pdb1	406.0
1wpwB2.pdb1	1wpwA2.pdb1	1812.3
2wpaC1.pdb2	2wpaD1.pdb2	1366.8
2wpdR1.pdb1	2wpdS1.pdb1	1595.5
2wpdR1.pdb1	2wpdQ1.pdb1	1597.55
2wpdR1.pdb1	2wpdG1.pdb1	7.8
2wpdH1.pdb1	2wpdI1.pdb1	1032.85
2wpdH1.pdb1	2wpdJ1.pdb1	62.25
2wpdH1.pdb1	2wpdM1.pdb1	143.45
2wpdH1.pdb1	2wpdK1.pdb1	223.35
2wpdH1.pdb1	2wpdL1.pdb1	253.3
2wpdH1.pdb1	2wpdN1.pdb1	27.05
2wpdH1.pdb1	2wpdG1.pdb1	996.1
2wpdE1.pdb1	2wpdC1.pdb1	0.05
2wpdE1.pdb1	2wpdA1.pdb1	1811.35
2wpdE1.pdb1	2wpdB1.pdb1	1795.55
2wpdE1.pdb1	2wpdG1.pdb1	450.05
2wpdP1.pdb1	2wpdO1.pdb1	1612.4
2wpdP1.pdb1	2wpdQ1.pdb1	1592.65
2wpdP1.pdb1	2wpdG1.pdb1	50.15
2wpdI1.pdb1	2wpdO1.pdb1	33.85
2wpdI1.pdb1	2wpdC1.pdb1	0.05
2wpdI1.pdb1	2wpdN1.pdb1	6.9
2wpdI1.pdb1	2wpdG1.pdb1	1157.05
2wpdJ1.pdb1	2wpdS1.pdb1	1604.1
2wpdJ1.pdb1	2wpdK1.pdb1	1588.3
2wpdJ1.pdb1	2wpdG1.pdb1	82.95
2wpdO1.pdb1	2wpdN1.pdb1	1621.6
2wpdO1.pdb1	2wpdG1.pdb1	29.4
2wpdS1.pdb1	2wpdG1.pdb1	46.2
2wpdC1.pdb1	2wpdM1.pdb1	0.05
2wpdC1.pdb1	2wpdQ1.pdb1	0.05
2wpdC1.pdb1	2wpdK1.pdb1	0.05
2wpdC1.pdb1	2wpdA1.pdb1	0.05
2wpdC1.pdb1	2wpdB1.pdb1	0.05
2wpdC1.pdb1	2wpdL1.pdb1	0.05
2wpdC1.pdb1	2wpdN1.pdb1	0.05
2wpdC1.pdb1	2wpdG1.pdb1	378.0
2wpdC1.pdb1	2wpdF1.pdb1	2188.0
2wpdC1.pdb1	2wpdD1.pdb1	2210.6
2wpdM1.pdb1	2wpdL1.pdb1	1614.5
2wpdM1.pdb1	2wpdN1.pdb1	1623.3
2wpdQ1.pdb1	2wpdG1.pdb1	43.95
2wpdK1.pdb1	2wpdL1.pdb1	1585.3
2wpdK1.pdb1	2wpdG1.pdb1	39.0
2wpdA1.pdb1	2wpdG1.pdb1	639.45
2wpdA1.pdb1	2wpdD1.pdb1	2344.1
2wpdB1.pdb1	2wpdG1.pdb1	316.4
2wpdB1.pdb1	2wpdF1.pdb1	2989.05
2wpdG1.pdb1	2wpdF1.pdb1	553.15
2wpdG1.pdb1	2wpdD1.pdb1	418.2
5wp0B1.pdb1	5wp0A1.pdb1	2538.65
1wpbD1.pdb6	1wpbH1.pdb6	41.75
1wpbD1.pdb6	1wpbE2.pdb6	1267.35
1wpbD1.pdb6	1wpbA2.pdb6	1237.0
1wpbH1.pdb6	1wpbE2.pdb6	1296.45
1wpbH1.pdb6	1wpbA2.pdb6	1252.6
1wpbE2.pdb6	1wpbA2.pdb6	43.95
3wpoB1.pdb1	3wpoA1.pdb1	4596.4
3wpoB1.pdb1	3wpoC1.pdb1	4534.95
3wpoA1.pdb1	3wpoC1.pdb1	4484.25
1wpqA1.pdb1	1wpqB1.pdb1	1735.75
5wpqD1.pdb1	5wpqA1.pdb1	3425.45
5wpqD1.pdb1	5wpqB1.pdb1	19.2
5wpqD1.pdb1	5wpqC1.pdb1	3438.95
5wpqA1.pdb1	5wpqB1.pdb1	3425.2
5wpqA1.pdb1	5wpqC1.pdb1	19.8
5wpqB1.pdb1	5wpqC1.pdb1	3433.5
3wpmA1.pdb1	3wpmB1.pdb1	4767.3
4wpaA1.pdb1	4wpaB1.pdb1	1064.35
5wpuA1.pdb1	5wpuA2.pdb1	954.1
5wpkA1.pdb1	5wpkB1.pdb1	4517.15
1wpbO1.pdb2	1wpbJ2.pdb2	631.35
1wpbO1.pdb2	1wpbN3.pdb2	1233.65
1wpbO1.pdb2	1wpbO2.pdb2	584.2
1wpbO1.pdb2	1wpbJ3.pdb2	1241.35
1wpbO1.pdb2	1wpbO3.pdb2	581.85
1wpbO1.pdb2	1wpbK1.pdb2	40.85
1wpbJ1.pdb2	1wpbO2.pdb2	1244.35
1wpbJ1.pdb2	1wpbN2.pdb2	607.3
1wpbJ1.pdb2	1wpbO3.pdb2	634.6
1wpbJ1.pdb2	1wpbN1.pdb2	42.35
1wpbJ1.pdb2	1wpbK2.pdb2	1235.35
1wpbJ1.pdb2	1wpbL3.pdb2	536.25
1wpbI1.pdb2	1wpbP3.pdb2	1256.65
1wpbI1.pdb2	1wpbP2.pdb2	602.45
1wpbI1.pdb2	1wpbM1.pdb2	49.75
1wpbI1.pdb2	1wpbK2.pdb2	556.95
1wpbI1.pdb2	1wpbM3.pdb2	600.5
1wpbI1.pdb2	1wpbL3.pdb2	1298.5
1wpbI3.pdb2	1wpbL2.pdb2	1300.8
1wpbI3.pdb2	1wpbM2.pdb2	599.55
1wpbI3.pdb2	1wpbP2.pdb2	1259.1
1wpbI3.pdb2	1wpbP1.pdb2	599.2
1wpbI3.pdb2	1wpbM3.pdb2	49.3
1wpbI3.pdb2	1wpbK1.pdb2	556.7
1wpbJ2.pdb2	1wpbN3.pdb2	608.7
1wpbJ2.pdb2	1wpbK3.pdb2	1234.55
1wpbJ2.pdb2	1wpbN2.pdb2	40.95
1wpbJ2.pdb2	1wpbL1.pdb2	533.95
1wpbJ2.pdb2	1wpbO3.pdb2	1244.7
1wpbI2.pdb2	1wpbP3.pdb2	600.35
1wpbI2.pdb2	1wpbM2.pdb2	48.65
1wpbI2.pdb2	1wpbK3.pdb2	557.0
1wpbI2.pdb2	1wpbP1.pdb2	1259.4
1wpbI2.pdb2	1wpbM1.pdb2	601.2
1wpbI2.pdb2	1wpbL1.pdb2	1300.65
1wpbP3.pdb2	1wpbM2.pdb2	2.75
1wpbP3.pdb2	1wpbP2.pdb2	560.2
1wpbP3.pdb2	1wpbP1.pdb2	561.15
1wpbP3.pdb2	1wpbM1.pdb2	1267.05
1wpbP3.pdb2	1wpbL3.pdb2	47.85
1wpbN3.pdb2	1wpbM2.pdb2	657.85
1wpbN3.pdb2	1wpbJ3.pdb2	43.05
1wpbN3.pdb2	1wpbL1.pdb2	498.45
1wpbN3.pdb2	1wpbK1.pdb2	1292.0
1wpbL2.pdb2	1wpbP2.pdb2	48.4
1wpbL2.pdb2	1wpbJ3.pdb2	536.7
1wpbL2.pdb2	1wpbN1.pdb2	496.95
1wpbL2.pdb2	1wpbM3.pdb2	1219.6
1wpbL2.pdb2	1wpbK1.pdb2	611.2
1wpbM2.pdb2	1wpbP1.pdb2	1265.3
1wpbM2.pdb2	1wpbL1.pdb2	1218.05
1wpbM2.pdb2	1wpbK1.pdb2	539.85
1wpbK3.pdb2	1wpbM1.pdb2	540.4
1wpbK3.pdb2	1wpbN2.pdb2	1293.55
1wpbK3.pdb2	1wpbL1.pdb2	611.45
1wpbK3.pdb2	1wpbO3.pdb2	42.35
1wpbP2.pdb2	1wpbP1.pdb2	559.65
1wpbP2.pdb2	1wpbM1.pdb2	2.75
1wpbP2.pdb2	1wpbM3.pdb2	1266.8
1wpbO2.pdb2	1wpbJ3.pdb2	631.45
1wpbO2.pdb2	1wpbO3.pdb2	582.65
1wpbO2.pdb2	1wpbN1.pdb2	1234.8
1wpbO2.pdb2	1wpbK2.pdb2	41.8
1wpbP1.pdb2	1wpbL1.pdb2	47.25
1wpbP1.pdb2	1wpbM3.pdb2	2.55
1wpbJ3.pdb2	1wpbN1.pdb2	609.9
1wpbJ3.pdb2	1wpbK1.pdb2	1236.5
1wpbM1.pdb2	1wpbN2.pdb2	656.8
1wpbM1.pdb2	1wpbL3.pdb2	1220.05
1wpbN2.pdb2	1wpbO3.pdb2	1232.0
1wpbN2.pdb2	1wpbL3.pdb2	498.95
1wpbN1.pdb2	1wpbK2.pdb2	1291.45
1wpbN1.pdb2	1wpbM3.pdb2	659.45
1wpbK2.pdb2	1wpbM3.pdb2	539.75
1wpbK2.pdb2	1wpbL3.pdb2	613.8
2wpjS1.pdb1	2wpjE1.pdb1	725.75
2wpjS1.pdb1	2wpjL1.pdb1	308.85
5wplC1.pdb1	5wplA1.pdb1	230.0
5wplC1.pdb1	5wplB1.pdb1	692.05
5wplA1.pdb1	5wplB1.pdb1	867.4
4wpiD1.pdb1	4wpiA1.pdb1	674.75
4wp7A2.pdb1	4wp7A4.pdb1	903.5
4wp7A2.pdb1	4wp7A3.pdb1	1413.7
4wp7A2.pdb1	4wp7A1.pdb1	2792.5
4wp7A4.pdb1	4wp7A3.pdb1	2792.5
4wp7A4.pdb1	4wp7A1.pdb1	1413.7
4wp7A3.pdb1	4wp7A1.pdb1	903.5
4wp9A1.pdb1	4wp9B1.pdb1	1077.1
2wprC1.pdb1	2wprB1.pdb1	1769.65
