3utbH1.pdb1	3utbB1.pdb1	285.05
3utbH1.pdb1	3utbG1.pdb1	2516.45
3utbH1.pdb1	3utbJ1.pdb1	456.65
3utbF1.pdb1	3utbI1.pdb1	343.35
3utbF1.pdb1	3utbE1.pdb1	2510.1
3utbF1.pdb1	3utbD1.pdb1	288.35
3utbF1.pdb1	3utbC1.pdb1	432.35
3utbF1.pdb1	3utbG1.pdb1	3.2
3utbF1.pdb1	3utbJ1.pdb1	226.85
3utbI1.pdb1	3utbE1.pdb1	777.35
3utbI1.pdb1	3utbD1.pdb1	644.35
3utbI1.pdb1	3utbC1.pdb1	394.8
3utbI1.pdb1	3utbB1.pdb1	236.25
3utbI1.pdb1	3utbG1.pdb1	475.05
3utbI1.pdb1	3utbA1.pdb1	713.45
3utbI1.pdb1	3utbJ1.pdb1	6531.45
3utbE1.pdb1	3utbC1.pdb1	692.35
3utbE1.pdb1	3utbG1.pdb1	63.7
3utbE1.pdb1	3utbA1.pdb1	584.45
3utbE1.pdb1	3utbJ1.pdb1	703.7
3utbD1.pdb1	3utbC1.pdb1	2568.7
3utbD1.pdb1	3utbB1.pdb1	519.25
3utbD1.pdb1	3utbG1.pdb1	60.6
3utbD1.pdb1	3utbJ1.pdb1	448.4
3utbC1.pdb1	3utbG1.pdb1	128.7
3utbC1.pdb1	3utbA1.pdb1	100.25
3utbC1.pdb1	3utbJ1.pdb1	482.95
3utbB1.pdb1	3utbG1.pdb1	441.65
3utbB1.pdb1	3utbA1.pdb1	2588.45
3utbB1.pdb1	3utbJ1.pdb1	363.5
3utbG1.pdb1	3utbA1.pdb1	687.0
3utbG1.pdb1	3utbJ1.pdb1	382.2
3utbA1.pdb1	3utbJ1.pdb1	756.95
4ut9H1.pdb1	4ut9A1.pdb1	419.5
4ut9H1.pdb1	4ut9L1.pdb1	1003.65
4ut9A1.pdb1	4ut9L1.pdb1	415.25
4utvA1.pdb1	4utvC1.pdb1	444.15
1utdC1.pdb1	1utdE1.pdb1	0.7
1utdC1.pdb1	1utdB1.pdb1	1138.6
1utdC1.pdb1	1utdD1.pdb1	1164.85
1utdG1.pdb1	1utdH1.pdb1	1159.8
1utdG1.pdb1	1utdF1.pdb1	1141.1
1utdG1.pdb1	1utdI1.pdb1	0.7
1utdG1.pdb1	1utdE1.pdb1	0.5
1utdH1.pdb1	1utdF1.pdb1	2.0
1utdH1.pdb1	1utdJ1.pdb1	0.55
1utdH1.pdb1	1utdI1.pdb1	1164.35
1utdF1.pdb1	1utdE1.pdb1	1123.95
1utdJ1.pdb1	1utdI1.pdb1	1161.15
1utdJ1.pdb1	1utdK1.pdb1	1133.8
1utdJ1.pdb1	1utdA1.pdb1	1.3
1utdI1.pdb1	1utdK1.pdb1	0.45
1utdE1.pdb1	1utdD1.pdb1	1165.85
1utdB1.pdb1	1utdK1.pdb1	0.2
1utdB1.pdb1	1utdA1.pdb1	1208.2
1utdK1.pdb1	1utdA1.pdb1	1144.45
4utiA1.pdb1	4utiA2.pdb1	1371.1
4utkA1.pdb1	4utkA2.pdb1	1385.3
4utmA2.pdb1	4utmA1.pdb1	1412.2
4ut4B2.pdb2	4ut4B1.pdb2	1411.7
4utlA2.pdb1	4utlA1.pdb1	1370.4
1utd81.pdb2	1utdS1.pdb2	56.05
1utd81.pdb2	1utdU1.pdb2	29.4
1utd81.pdb2	1utd91.pdb2	129.45
1utd81.pdb2	1utd71.pdb2	128.2
1utd81.pdb2	1utdT1.pdb2	364.95
1utdP1.pdb2	1utd31.pdb2	38.55
1utdP1.pdb2	1utdQ1.pdb2	1158.95
1utdP1.pdb2	1utd41.pdb2	370.95
1utdP1.pdb2	1utd51.pdb2	56.1
1utdP1.pdb2	1utdO1.pdb2	1156.55
1utd21.pdb2	1utdN1.pdb2	365.85
1utd21.pdb2	1utd31.pdb2	128.25
1utd21.pdb2	1utdM1.pdb2	55.15
1utd21.pdb2	1utdO1.pdb2	36.7
1utd21.pdb2	1utd11.pdb2	126.25
1utdS1.pdb2	1utdR1.pdb2	1140.45
1utdS1.pdb2	1utd61.pdb2	35.5
1utdS1.pdb2	1utdU1.pdb2	0.15
1utdS1.pdb2	1utd71.pdb2	369.2
1utdS1.pdb2	1utdT1.pdb2	1136.6
