1ghbP4.pdb2	1ghbG4.pdb2	145.6
1ghbP4.pdb2	1ghbG3.pdb2	52.8
1ghbP4.pdb2	1ghbF4.pdb2	59.2
1ghbF3.pdb2	1ghbG4.pdb2	117.35
1ghbF3.pdb2	1ghbG3.pdb2	2869.4
1ghbF3.pdb2	1ghbF4.pdb2	784.8
1ghbG4.pdb2	1ghbG3.pdb2	44.0
1ghbG4.pdb2	1ghbF4.pdb2	2869.4
1ghbG3.pdb2	1ghbF4.pdb2	117.35
4ghfB1.pdb1	4ghfA1.pdb1	1611.8
4ghfB1.pdb1	4ghfC1.pdb1	507.8
4ghfB1.pdb1	4ghfD1.pdb1	1629.25
4ghfA1.pdb1	4ghfC1.pdb1	1217.45
4ghfA1.pdb1	4ghfD1.pdb1	507.3
4ghfC1.pdb1	4ghfD1.pdb1	1636.2
2ghpE1.pdb2	2ghpH1.pdb2	454.25
2ghpE1.pdb2	2ghpG1.pdb2	1158.75
2ghpE1.pdb2	2ghpF1.pdb2	807.5
2ghpH1.pdb2	2ghpG1.pdb2	802.8
2ghpH1.pdb2	2ghpF1.pdb2	1134.3
2ghpG1.pdb2	2ghpF1.pdb2	427.35
6ghdH1.pdb2	6ghdC1.pdb2	392.05
6ghdH1.pdb2	6ghdA1.pdb2	231.95
6ghdF1.pdb2	6ghdC1.pdb2	283.35
6ghdF1.pdb2	6ghdA1.pdb2	199.4
6ghdC1.pdb2	6ghdA1.pdb2	718.95
6ghmA1.pdb1	6ghmD1.pdb1	1270.1
4ghmB1.pdb1	4ghmA1.pdb1	2163.65
6ghmB1.pdb2	6ghmC1.pdb2	1259.1
2gh0B1.pdb1	2gh0D1.pdb1	782.1
2gh0A1.pdb1	2gh0C1.pdb1	797.7
2gh0C1.pdb1	2gh0D1.pdb1	1691.35
3gh2X1.pdb1	3gh2X2.pdb1	2075.9
6gh3B1.pdb1	6gh3A1.pdb1	3374.9
2ghwD1.pdb2	2ghwC1.pdb2	1143.45
4ghkA1.pdb2	4ghkB1.pdb2	2773.1
6gh4P1.pdb1	6gh4A1.pdb1	878.65
6gh4B1.pdb1	6gh4A1.pdb1	1319.35
5ghrC1.pdb2	5ghrD1.pdb2	825.4
6gh4Q1.pdb2	6gh4C1.pdb2	841.7
6gh4C1.pdb2	6gh4D1.pdb2	1316.4
6gh8D1.pdb1	6gh8A1.pdb1	573.2
4gh0A2.pdb1	4gh0A1.pdb1	649.2
6ghgA1.pdb1	6ghgB1.pdb1	1619.15
1ghbF1.pdb3	1ghbP1.pdb3	54.9
1ghbF1.pdb3	1ghbG1.pdb3	2869.4
1ghbF1.pdb3	1ghbE1.pdb3	469.5
1ghbP1.pdb3	1ghbG1.pdb3	139.65
1ghbG1.pdb3	1ghbE1.pdb3	228.7
5gh9B1.pdb1	5gh9A1.pdb1	366.05
6gh1G1.pdb2	6gh1Z1.pdb2	868.55
6gh1G1.pdb2	6gh1H1.pdb2	1305.2
4ghjA1.pdb1	4ghjB1.pdb1	1485.35
2ghqA1.pdb1	2ghqC1.pdb1	262.95
2ghqD1.pdb2	2ghqB1.pdb2	555.15
2ghtB1.pdb2	2ghtD1.pdb2	495.5
3gh8A1.pdb1	3gh8B1.pdb1	5037.5
3ghbI1.pdb2	3ghbQ1.pdb2	439.8
3ghbI1.pdb2	3ghbM1.pdb2	1744.95
3ghbQ1.pdb2	3ghbM1.pdb2	177.65
3ghjA2.pdb1	3ghjA1.pdb1	1810.9
5ghrB1.pdb1	5ghrA1.pdb1	733.75
6ghnC1.pdb2	6ghnQ1.pdb2	890.75
6ghnC1.pdb2	6ghnD1.pdb2	1296.65
1gh6A1.pdb1	1gh6B1.pdb1	792.5
6ghlD1.pdb1	6ghlA1.pdb1	1253.3
6ghlD1.pdb1	6ghlE1.pdb1	776.6
6ghlD1.pdb1	6ghlC1.pdb1	518.35
6ghlD1.pdb1	6ghlB1.pdb1	2063.1
6ghlA1.pdb1	6ghlE1.pdb1	237.75
6ghlA1.pdb1	6ghlC1.pdb1	2021.7
6ghlA1.pdb1	6ghlB1.pdb1	487.2
6ghlC1.pdb1	6ghlB1.pdb1	1265.0
6ghlC1.pdb1	6ghlF1.pdb1	301.25
6ghlB1.pdb1	6ghlF1.pdb1	781.5
2gh1B1.pdb1	2gh1A1.pdb1	1834.5
1ghdA1.pdb1	1ghdB1.pdb1	3868.15
6ghoA1.pdb1	6ghoB1.pdb1	1589.65
2ghyA1.pdb1	2ghyB1.pdb1	1284.0
3ghbH1.pdb1	3ghbP1.pdb1	466.1
3ghbH1.pdb1	3ghbL1.pdb1	1709.8
3ghbP1.pdb1	3ghbL1.pdb1	179.45
1ghxI1.pdb1	1ghxH1.pdb1	564.75
1ghxH1.pdb1	1ghxL1.pdb1	1411.25
4gh3A2.pdb1	4gh3A1.pdb1	1371.2
1ghbP2.pdb1	1ghbF2.pdb1	59.2
1ghbP2.pdb1	1ghbG1.pdb1	52.8
1ghbP2.pdb1	1ghbG2.pdb1	145.6
1ghbP2.pdb1	1ghbP1.pdb1	63.5
1ghbP2.pdb1	1ghbF1.pdb1	73.25
1ghbF2.pdb1	1ghbG1.pdb1	117.35
1ghbF2.pdb1	1ghbG2.pdb1	2869.4
1ghbF2.pdb1	1ghbE2.pdb1	469.5
1ghbF2.pdb1	1ghbP1.pdb1	73.25
1ghbF2.pdb1	1ghbF1.pdb1	784.8
1ghbG1.pdb1	1ghbG2.pdb1	44.0
1ghbG1.pdb1	1ghbE1.pdb1	228.7
1ghbG1.pdb1	1ghbP1.pdb1	145.6
1ghbG1.pdb1	1ghbF1.pdb1	2869.4
