1msbB1.pdb1	1msbA1.pdb1	602.65
5ms4B1.pdb2	5ms4F1.pdb2	290.65
6msqA2.pdb1	6msqA3.pdb1	1120.85
6msqA2.pdb1	6msqA1.pdb1	1120.85
6msqA3.pdb1	6msqA1.pdb1	1120.85
4msmD1.pdb2	4msmC1.pdb2	1187.95
4msvB1.pdb1	4msvA1.pdb1	477.8
4msvB1.pdb1	4msvA2.pdb1	466.15
4msvB3.pdb1	4msvA3.pdb1	477.8
4msvB3.pdb1	4msvA1.pdb1	466.15
4msvA3.pdb1	4msvB2.pdb1	466.1
4msvA3.pdb1	4msvA1.pdb1	979.15
4msvA3.pdb1	4msvA2.pdb1	979.15
4msvB2.pdb1	4msvA2.pdb1	477.8
4msvA1.pdb1	4msvA2.pdb1	979.15
5mshA1.pdb1	5mshB1.pdb1	1784.55
6mssA2.pdb1	6mssB2.pdb1	2037.85
6mssB2.pdb1	6mssC1.pdb1	71.8
6mssD1.pdb1	6mssC1.pdb1	1167.5
2mspA1.pdb1	2mspB1.pdb1	603.1
2mspD1.pdb1	2mspC1.pdb1	566.5
2mspC1.pdb1	2mspB1.pdb1	663.25
6ms1B1.pdb2	6ms1C1.pdb2	500.0
6ms1D1.pdb1	6ms1A1.pdb1	524.75
4msmA1.pdb1	4msmB1.pdb1	1204.5
4ms4A1.pdb1	4ms4B1.pdb1	1377.95
