1j95A1.pdb1	1j95B1.pdb1	956.5
1j95A1.pdb1	1j95D1.pdb1	943.1
1j95A1.pdb1	1j95C1.pdb1	62.95
1j95B1.pdb1	1j95D1.pdb1	54.75
1j95B1.pdb1	1j95C1.pdb1	947.9
1j95D1.pdb1	1j95C1.pdb1	942.4
6j9tE1.pdb2	6j9tD1.pdb2	947.05
6j9tE1.pdb2	6j9tF1.pdb2	1047.05
6j9tE1.pdb2	6j9tC1.pdb2	1887.15
6j9tD1.pdb2	6j9tF1.pdb2	1873.9
6j9tD1.pdb2	6j9tC1.pdb2	1046.85
6j9tF1.pdb2	6j9tC1.pdb2	967.1
1j9jB3.pdb2	1j9jB4.pdb2	3535.2
1j9jB3.pdb2	1j9jA1.pdb2	489.6
1j9jB3.pdb2	1j9jA2.pdb2	298.6
1j9jB4.pdb2	1j9jA1.pdb2	298.6
1j9jB4.pdb2	1j9jA2.pdb2	489.65
1j9jA1.pdb2	1j9jA2.pdb2	3517.0
3j9iE1.pdb1	3j9iD1.pdb1	1394.95
3j9iE1.pdb1	3j9iG1.pdb1	1.95
3j9iE1.pdb1	3j9iL1.pdb1	473.1
3j9iE1.pdb1	3j9iF1.pdb1	1394.9
3j9iE1.pdb1	3j9iC1.pdb1	2.0
3j9iE1.pdb1	3j9iM1.pdb1	531.25
3j9iZ1.pdb1	3j9i11.pdb1	740.7
3j9iZ1.pdb1	3j9iS1.pdb1	473.1
3j9iZ1.pdb1	3j9iR1.pdb1	531.3
3j9iZ1.pdb1	3j9iN1.pdb1	608.7
3j9iZ1.pdb1	3j9iY1.pdb1	740.65
3j9iZ1.pdb1	3j9iM1.pdb1	614.6
3j9iK1.pdb1	3j9iD1.pdb1	473.1
3j9iK1.pdb1	3j9iJ1.pdb1	740.6
3j9iK1.pdb1	3j9iV1.pdb1	608.7
3j9iK1.pdb1	3j9iL1.pdb1	740.65
3j9iK1.pdb1	3j9i21.pdb1	614.6
3j9iK1.pdb1	3j9iC1.pdb1	531.3
3j9iD1.pdb1	3j9iL1.pdb1	531.25
3j9iD1.pdb1	3j9iB1.pdb1	1.95
3j9iD1.pdb1	3j9iF1.pdb1	1.95
3j9iD1.pdb1	3j9iC1.pdb1	1394.9
3j9i11.pdb1	3j9iS1.pdb1	531.3
3j9i11.pdb1	3j9iL1.pdb1	609.5
3j9i11.pdb1	3j9i21.pdb1	740.7
3j9i11.pdb1	3j9iT1.pdb1	473.1
3j9i11.pdb1	3j9iM1.pdb1	608.65
3j9iA1.pdb1	3j9iI1.pdb1	531.3
3j9iA1.pdb1	3j9iG1.pdb1	1394.85
3j9iA1.pdb1	3j9iB1.pdb1	1394.9
3j9iA1.pdb1	3j9iH1.pdb1	473.1
3j9iA1.pdb1	3j9iF1.pdb1	1.95
3j9iA1.pdb1	3j9iC1.pdb1	2.0
3j9iI1.pdb1	3j9iJ1.pdb1	740.7
3j9iI1.pdb1	3j9iB1.pdb1	473.1
3j9iI1.pdb1	3j9iH1.pdb1	740.65
3j9iI1.pdb1	3j9iW1.pdb1	614.65
3j9iI1.pdb1	3j9iX1.pdb1	608.7
3j9iJ1.pdb1	3j9iV1.pdb1	614.65
3j9iJ1.pdb1	3j9iB1.pdb1	531.25
3j9iJ1.pdb1	3j9iW1.pdb1	608.65
3j9iJ1.pdb1	3j9iC1.pdb1	473.1
3j9iS1.pdb1	3j9iQ1.pdb1	2.05
3j9iS1.pdb1	3j9iR1.pdb1	1394.95
3j9iS1.pdb1	3j9iT1.pdb1	1394.95
3j9iS1.pdb1	3j9iU1.pdb1	1.95
3j9iQ1.pdb1	3j9iO1.pdb1	2.0
3j9iQ1.pdb1	3j9iR1.pdb1	1395.05
3j9iQ1.pdb1	3j9iX1.pdb1	473.05
3j9iQ1.pdb1	3j9iP1.pdb1	1394.95
3j9iQ1.pdb1	3j9iY1.pdb1	531.25
3j9iG1.pdb1	3j9iB1.pdb1	2.0
3j9iG1.pdb1	3j9iH1.pdb1	531.3
3j9iG1.pdb1	3j9iN1.pdb1	473.1
3j9iG1.pdb1	3j9iF1.pdb1	1394.95
3j9iV1.pdb1	3j9iO1.pdb1	473.1
3j9iV1.pdb1	3j9iW1.pdb1	740.7
3j9iV1.pdb1	3j9i21.pdb1	740.75
3j9iV1.pdb1	3j9iU1.pdb1	531.25
3j9iL1.pdb1	3j9i21.pdb1	608.7
3j9iL1.pdb1	3j9iM1.pdb1	740.65
3j9iO1.pdb1	3j9iW1.pdb1	531.3
3j9iO1.pdb1	3j9iP1.pdb1	1395.0
