6rjhG1.pdb1	6rjhX1.pdb1	49.7
6rjhG1.pdb1	6rjhV1.pdb1	587.4
6rjhM1.pdb1	6rjhN1.pdb1	588.2
6rjhM1.pdb1	6rjhD1.pdb1	588.15
6rjhA1.pdb1	6rjhB1.pdb1	587.05
6rjhA1.pdb1	6rjhX1.pdb1	648.55
6rjhN1.pdb1	6rjhD1.pdb1	49.7
6rjhK1.pdb1	6rjhO1.pdb1	588.15
6rjhK1.pdb1	6rjhW1.pdb1	49.7
6rjhO1.pdb1	6rjhW1.pdb1	588.1
6rjhB1.pdb1	6rjhD1.pdb1	1358.8
6rjhX1.pdb1	6rjhV1.pdb1	585.7
6rjhX1.pdb1	6rjhW1.pdb1	1358.85
6rjhV1.pdb1	6rjhW1.pdb1	649.35
4rjfA2.pdb1	4rjfB2.pdb1	1149.6
4rjfA2.pdb1	4rjfA3.pdb1	736.55
4rjfA2.pdb1	4rjfA1.pdb1	736.55
4rjfB1.pdb1	4rjfA1.pdb1	1149.6
4rjfA3.pdb1	4rjfB3.pdb1	1149.55
4rjfA3.pdb1	4rjfA1.pdb1	736.55
1rjyB1.pdb1	1rjyA1.pdb1	1205.05
1rjyP1.pdb1	1rjyA1.pdb1	869.3
1rjyQ1.pdb1	1rjyD1.pdb1	868.15
1rjyA1.pdb1	1rjyD1.pdb1	176.8
1rjyD1.pdb1	1rjyE1.pdb1	1198.4
2rjlA2.pdb1	2rjlA1.pdb1	935.5
2rjlA2.pdb1	2rjlA3.pdb1	935.85
2rjlA1.pdb1	2rjlA3.pdb1	933.95
6rjcB1.pdb1	6rjcA1.pdb1	4168.85
1rj8E1.pdb2	1rj8G1.pdb2	932.4
1rj8E1.pdb2	1rj8F1.pdb2	914.65
1rj8G1.pdb2	1rj8F1.pdb2	1045.65
2rj0A1.pdb2	2rj0A2.pdb2	2556.15
6rjaG1.pdb1	6rjaH1.pdb1	979.5
6rjaG1.pdb1	6rjaF1.pdb1	5802.95
6rjaG1.pdb1	6rjaB1.pdb1	517.85
6rjaE1.pdb1	6rjaC1.pdb1	982.45
6rjaE1.pdb1	6rjaD1.pdb1	970.2
6rjaH1.pdb1	6rjaF1.pdb1	965.85
6rjaA1.pdb1	6rjaF1.pdb1	525.2
6rjaA1.pdb1	6rjaC1.pdb1	1220.25
6rjaA1.pdb1	6rjaB1.pdb1	1200.2
6rjaA1.pdb1	6rjaD1.pdb1	504.85
6rjaF1.pdb1	6rjaB1.pdb1	1219.65
6rjaC1.pdb1	6rjaB1.pdb1	518.95
6rjaC1.pdb1	6rjaD1.pdb1	5842.0
3rjwA1.pdb1	3rjwB1.pdb1	1106.15
4rjvA1.pdb1	4rjvB1.pdb1	709.55
2rjeQ1.pdb1	2rjeA1.pdb1	169.55
4rj2C1.pdb1	4rj2A1.pdb1	98.2
4rj2C1.pdb1	4rj2E1.pdb1	1541.45
4rj2C1.pdb1	4rj2B1.pdb1	95.25
4rj2C1.pdb1	4rj2F1.pdb1	1722.05
4rj2A1.pdb1	4rj2E1.pdb1	1736.85
4rj2A1.pdb1	4rj2B1.pdb1	104.55
4rj2A1.pdb1	4rj2D1.pdb1	1540.1
4rj2E1.pdb1	4rj2F1.pdb1	91.4
4rj2E1.pdb1	4rj2D1.pdb1	103.7
4rj2B1.pdb1	4rj2F1.pdb1	1582.05
4rj2B1.pdb1	4rj2D1.pdb1	1685.5
4rj2F1.pdb1	4rj2D1.pdb1	97.9
1rj7K1.pdb4	1rj7L1.pdb4	879.25
1rj7K1.pdb4	1rj7M1.pdb4	908.95
1rj7L1.pdb4	1rj7M1.pdb4	889.1
6rjkA1.pdb1	6rjkB1.pdb1	956.6
2rj6A2.pdb2	2rj6A1.pdb2	2550.05
2rjkA3.pdb1	2rjkA2.pdb1	950.4
2rjkA3.pdb1	2rjkA1.pdb1	948.65
2rjkA2.pdb1	2rjkA1.pdb1	949.75
2rjtB1.pdb1	2rjtA1.pdb1	2977.1
6rjdC1.pdb1	6rjdE1.pdb1	1431.8
6rjdC1.pdb1	6rjdD1.pdb1	5982.25
6rjdC1.pdb1	6rjdG1.pdb1	588.5
6rjdE1.pdb1	6rjdD1.pdb1	941.5
6rjdE1.pdb1	6rjdG1.pdb1	578.15
