4a8bM1.pdb1	4a8bR1.pdb1	27.25
4a8bM1.pdb1	4a8bQ1.pdb1	32.05
4a8bO1.pdb1	4a8bN1.pdb1	26.8
4a8bO1.pdb1	4a8bR1.pdb1	8.35
4a8bO1.pdb1	4a8bQ1.pdb1	35.9
4a8bN1.pdb1	4a8bR1.pdb1	69.8
4a8bN1.pdb1	4a8bQ1.pdb1	63.2
4a8bL1.pdb1	4a8bJ1.pdb1	62.1
4a8bH1.pdb1	4a8bJ1.pdb1	344.0
4a8bR1.pdb1	4a8bQ1.pdb1	0.55
4a8rA4.pdb1	4a8rA3.pdb1	1447.9
4a8rA4.pdb1	4a8rA2.pdb1	4681.9
4a8rA4.pdb1	4a8rA1.pdb1	1480.1
4a8rA3.pdb1	4a8rA2.pdb1	1480.1
4a8rA3.pdb1	4a8rA1.pdb1	4681.9
4a8rA2.pdb1	4a8rA1.pdb1	1447.9
1a8kE1.pdb2	1a8kD1.pdb2	1792.15
2a8xB1.pdb1	2a8xA1.pdb1	3603.95
4a8xB1.pdb1	4a8xA1.pdb1	641.4
4a8xB1.pdb1	4a8xC1.pdb1	419.15
4a8xA1.pdb1	4a8xC1.pdb1	608.75
4a8lA3.pdb1	4a8lA1.pdb1	4703.4
4a8lA3.pdb1	4a8lA4.pdb1	1451.2
4a8lA3.pdb1	4a8lA2.pdb1	1477.0
4a8lA1.pdb1	4a8lA4.pdb1	1477.0
4a8lA1.pdb1	4a8lA2.pdb1	1451.2
4a8lA4.pdb1	4a8lA2.pdb1	4703.4
3a8xA1.pdb3	3a8xB1.pdb3	771.9
2a8nA1.pdb1	2a8nB1.pdb1	1200.4
1a8oA1.pdb1	1a8oA2.pdb1	488.95
1a8uA1.pdb1	1a8uB1.pdb1	62.0
6a8sA1.pdb1	6a8sB1.pdb1	1226.25
2a8mB1.pdb1	2a8mA1.pdb1	1974.35
3a8mA1.pdb1	3a8mB1.pdb1	3650.3
4a82C1.pdb2	4a82D1.pdb2	685.35
5a8sA2.pdb1	5a8sA3.pdb1	1966.25
5a8sA2.pdb1	5a8sA1.pdb1	1962.95
5a8sA3.pdb1	5a8sA1.pdb1	1963.45
1a81A1.pdb6	1a81B1.pdb6	834.05
6a8tA1.pdb1	6a8tB1.pdb1	3041.3
6a8tA1.pdb1	6a8tD1.pdb1	1436.1
6a8tA1.pdb1	6a8tC1.pdb1	279.7
6a8tB1.pdb1	6a8tD1.pdb1	275.4
6a8tB1.pdb1	6a8tC1.pdb1	1436.05
6a8tD1.pdb1	6a8tC1.pdb1	3112.65
3a8wB1.pdb3	3a8wA1.pdb3	719.4
2a8yA1.pdb1	2a8yB1.pdb1	1205.4
2a8yA1.pdb1	2a8yC1.pdb1	1252.7
2a8yA1.pdb1	2a8yL1.pdb1	0.05
2a8yA1.pdb1	2a8yK1.pdb1	1025.7
2a8yA1.pdb1	2a8yJ1.pdb1	379.0
2a8yB1.pdb1	2a8yC1.pdb1	1251.2
2a8yB1.pdb1	2a8yL1.pdb1	340.15
2a8yB1.pdb1	2a8yJ1.pdb1	1016.25
2a8yC1.pdb1	2a8yL1.pdb1	1022.7
2a8yC1.pdb1	2a8yK1.pdb1	346.15
2a8yL1.pdb1	2a8yK1.pdb1	1227.5
2a8yL1.pdb1	2a8yJ1.pdb1	1265.5
2a8yK1.pdb1	2a8yJ1.pdb1	1241.85
4a8hA2.pdb1	4a8hA3.pdb1	1964.8
4a8hA2.pdb1	4a8hA1.pdb1	1964.85
4a8hA3.pdb1	4a8hA1.pdb1	1964.9
6a8aA1.pdb1	6a8aB1.pdb1	1318.4
3a8hA1.pdb1	3a8hB1.pdb1	3621.55
1a81I1.pdb7	1a81J1.pdb7	783.3
6a8cB1.pdb1	6a8cA1.pdb1	1307.75
3a8lA1.pdb1	3a8lB1.pdb1	3648.95
6a86B1.pdb1	6a86A1.pdb1	652.0
6a86B1.pdb1	6a86C1.pdb1	638.9
6a86A1.pdb1	6a86C1.pdb1	659.1
5a83A2.pdb1	5a83A1.pdb1	181.8
3a8gA1.pdb1	3a8gB1.pdb1	3642.1
1a8qA3.pdb2	1a8qA2.pdb2	859.3
1a8qA3.pdb2	1a8qA1.pdb2	859.25
1a8qA2.pdb2	1a8qA1.pdb2	859.3
2a86A1.pdb1	2a86B1.pdb1	1162.95
3a8eA2.pdb1	3a8eA1.pdb1	339.9
3a8eA2.pdb1	3a8eD1.pdb1	174.15
3a8eA2.pdb1	3a8eC2.pdb1	374.85
3a8eA2.pdb1	3a8eB1.pdb1	525.75
3a8eA2.pdb1	3a8eB2.pdb1	1463.4
3a8eA1.pdb1	3a8eC1.pdb1	374.85
3a8eA1.pdb1	3a8eD2.pdb1	174.15
3a8eA1.pdb1	3a8eB1.pdb1	1463.4
3a8eA1.pdb1	3a8eB2.pdb1	525.75
3a8eC1.pdb1	3a8eD1.pdb1	1447.45
3a8eC1.pdb1	3a8eC2.pdb1	6.9
3a8eC1.pdb1	3a8eD2.pdb1	535.9
3a8eC1.pdb1	3a8eB1.pdb1	356.35
3a8eD1.pdb1	3a8eC2.pdb1	535.9
3a8eD1.pdb1	3a8eD2.pdb1	358.1
3a8eD1.pdb1	3a8eB1.pdb1	393.05
3a8eC2.pdb1	3a8eD2.pdb1	1447.45
3a8eC2.pdb1	3a8eB2.pdb1	356.35
3a8eD2.pdb1	3a8eB2.pdb1	393.05
3a8eB1.pdb1	3a8eB2.pdb1	11.8
2a8cB2.pdb2	2a8cA2.pdb2	884.25
2a8cB2.pdb2	2a8cA1.pdb2	213.45
2a8cB2.pdb2	2a8cB1.pdb2	3142.7
2a8cA2.pdb2	2a8cA1.pdb2	3132.5
2a8cA2.pdb2	2a8cB1.pdb2	213.45
2a8cA1.pdb2	2a8cB1.pdb2	884.25
3a8jF1.pdb2	3a8jB1.pdb2	568.55
1a8iA2.pdb1	1a8iA1.pdb1	2049.55
6a86F1.pdb2	6a86D1.pdb2	652.3
6a86F1.pdb2	6a86E1.pdb2	601.55
6a86D1.pdb2	6a86E1.pdb2	652.3
2a8dE1.pdb1	2a8dF1.pdb1	841.7
2a8dE1.pdb1	2a8dC1.pdb1	3194.2
2a8dE1.pdb1	2a8dD1.pdb1	212.05
2a8dF1.pdb1	2a8dC1.pdb1	210.4
2a8dF1.pdb1	2a8dD1.pdb1	3191.95
2a8dC1.pdb1	2a8dD1.pdb1	890.35
4a8nA1.pdb1	4a8nA4.pdb1	1467.8
4a8nA1.pdb1	4a8nA2.pdb1	1444.6
4a8nA1.pdb1	4a8nA3.pdb1	4664.3
4a8nA4.pdb1	4a8nA2.pdb1	4664.3
4a8nA4.pdb1	4a8nA3.pdb1	1444.6
4a8nA2.pdb1	4a8nA3.pdb1	1467.8
4a8zA1.pdb1	4a8zA2.pdb1	491.6
4a8iA4.pdb1	4a8iA3.pdb1	1455.4
4a8iA4.pdb1	4a8iA1.pdb1	1473.0
4a8iA4.pdb1	4a8iA2.pdb1	4689.7
