3lnnA3.pdb4	3lnnB3.pdb4	1423.6
3lnnA3.pdb4	3lnnA1.pdb4	1201.3
3lnnA3.pdb4	3lnnA2.pdb4	176.0
3lnnA4.pdb4	3lnnB3.pdb4	221.0
3lnnA4.pdb4	3lnnA1.pdb4	176.0
3lnnA4.pdb4	3lnnA2.pdb4	1201.3
3lnnB3.pdb4	3lnnB1.pdb4	675.2
3lnnB1.pdb4	3lnnA1.pdb4	1423.6
3lnnB1.pdb4	3lnnA2.pdb4	221.0
3lnnA1.pdb4	3lnnA2.pdb4	1198.8
3lnnA1.pdb4	3lnnB2.pdb4	221.0
3lnnA2.pdb4	3lnnB2.pdb4	1423.6
1lnwC1.pdb7	1lnwA1.pdb7	827.75
1lnwC1.pdb7	1lnwD1.pdb7	1980.15
1lnwC1.pdb7	1lnwB1.pdb7	710.3
1lnwA1.pdb7	1lnwD1.pdb7	193.65
1lnwA1.pdb7	1lnwB1.pdb7	2228.85
1lnwD1.pdb7	1lnwB1.pdb7	225.1
4ln8K1.pdb8	4ln8L1.pdb8	2990.6
3ln3A2.pdb2	3ln3A1.pdb2	217.1
3ln8A1.pdb3	3ln8B2.pdb3	700.2
3ln7A1.pdb1	3ln7B1.pdb1	1215.3
5lnxC1.pdb1	5lnxA1.pdb1	153.35
5lnxC1.pdb1	5lnxD1.pdb1	1869.4
5lnxC1.pdb1	5lnxB1.pdb1	1312.45
5lnxA1.pdb1	5lnxD1.pdb1	1338.5
5lnxA1.pdb1	5lnxB1.pdb1	1941.6
5lnxD1.pdb1	5lnxB1.pdb1	149.35
1lnwE1.pdb3	1lnwF1.pdb3	2271.0
4ln6J2.pdb5	4ln6I2.pdb5	3006.7
4ln6J2.pdb5	4ln6G1.pdb5	266.7
4ln6J2.pdb5	4ln6H1.pdb5	1198.75
4ln6J2.pdb5	4ln6K2.pdb5	254.8
4ln6J2.pdb5	4ln6L2.pdb5	1202.0
4ln6I2.pdb5	4ln6G1.pdb5	440.85
4ln6I2.pdb5	4ln6H1.pdb5	262.5
4ln6I2.pdb5	4ln6K2.pdb5	407.3
4ln6I2.pdb5	4ln6L2.pdb5	265.8
4ln6G1.pdb5	4ln6H1.pdb5	3005.15
4ln6G1.pdb5	4ln6K2.pdb5	410.8
4ln6G1.pdb5	4ln6L2.pdb5	255.1
4ln6H1.pdb5	4ln6K2.pdb5	268.4
4ln6H1.pdb5	4ln6L2.pdb5	1215.35
4ln6K2.pdb5	4ln6L2.pdb5	2993.7
4lnlA2.pdb1	4lnlB2.pdb1	960.1
4lnlA2.pdb1	4lnlA1.pdb1	922.6
4lnlA2.pdb1	4lnlB1.pdb1	1834.95
4lnlB2.pdb1	4lnlA1.pdb1	1835.0
4lnlB2.pdb1	4lnlB1.pdb1	898.1
4lnlA1.pdb1	4lnlB1.pdb1	960.05
3lnnA1.pdb3	3lnnA2.pdb3	1201.3
3lnnA1.pdb3	3lnnB1.pdb3	1423.6
3lnnA2.pdb3	3lnnB2.pdb3	1423.6
3lnnB1.pdb3	3lnnB2.pdb3	675.2
5lnlC1.pdb1	5lnlB1.pdb1	1796.8
5lnlC1.pdb1	5lnlA1.pdb1	1690.35
5lnlB1.pdb1	5lnlA1.pdb1	1810.4
4lnhA1.pdb3	4lnhA2.pdb3	990.6
5lniA2.pdb1	5lniA1.pdb1	1368.5
