4xd9A1.pdb1	4xd9B1.pdb1	2725.1
5xdqY1.pdb2	5xdqZ1.pdb2	751.4
5xdqY1.pdb2	5xdqW1.pdb2	100.95
5xdqY1.pdb2	5xdqP1.pdb2	22.25
5xdqQ1.pdb2	5xdqO1.pdb2	852.75
5xdqQ1.pdb2	5xdqV1.pdb2	407.3
5xdqQ1.pdb2	5xdqN1.pdb2	1343.7
5xdqQ1.pdb2	5xdqZ1.pdb2	370.4
5xdqQ1.pdb2	5xdqX1.pdb2	1459.2
5xdqO1.pdb2	5xdqV1.pdb2	1476.65
5xdqO1.pdb2	5xdqN1.pdb2	3548.25
5xdqO1.pdb2	5xdqP1.pdb2	26.5
5xdqO1.pdb2	5xdqX1.pdb2	173.25
5xdqV1.pdb2	5xdqN1.pdb2	102.85
5xdqV1.pdb2	5xdqX1.pdb2	109.25
5xdqN1.pdb2	5xdqZ1.pdb2	1075.9
5xdqN1.pdb2	5xdqW1.pdb2	274.75
5xdqN1.pdb2	5xdqP1.pdb2	2606.95
5xdqN1.pdb2	5xdqX1.pdb2	346.15
5xdqZ1.pdb2	5xdqX1.pdb2	5.35
5xdqW1.pdb2	5xdqP1.pdb2	1306.25
5xd9A1.pdb1	5xd9A2.pdb1	1862.9
1xdaH1.pdb9	1xdaH3.pdb9	168.65
1xdaH1.pdb9	1xdaH2.pdb9	168.65
1xdaH1.pdb9	1xdaG3.pdb9	142.05
1xdaH1.pdb9	1xdaG1.pdb9	582.9
1xdaH3.pdb9	1xdaH2.pdb9	168.65
1xdaH3.pdb9	1xdaG3.pdb9	582.85
1xdaH3.pdb9	1xdaG2.pdb9	142.0
1xdaH2.pdb9	1xdaG2.pdb9	582.85
1xdaH2.pdb9	1xdaG1.pdb9	142.05
2xdfD1.pdb1	2xdfB1.pdb1	995.9
2xdfB1.pdb1	2xdfA1.pdb1	1889.15
2xdfC1.pdb1	2xdfA1.pdb1	1034.85
5xdeD1.pdb1	5xdeA1.pdb1	1743.35
5xdeD1.pdb1	5xdeB1.pdb1	132.15
5xdeD1.pdb1	5xdeC1.pdb1	2274.8
5xdeA1.pdb1	5xdeB1.pdb1	2229.5
5xdeA1.pdb1	5xdeC1.pdb1	131.05
5xdeB1.pdb1	5xdeC1.pdb1	1751.15
2xdnB1.pdb1	2xdnA1.pdb1	2167.8
5xdqH1.pdb1	5xdqA1.pdb1	132.45
5xdqH1.pdb1	5xdqC1.pdb1	244.9
5xdqH1.pdb1	5xdqB1.pdb1	957.9
5xdqH1.pdb1	5xdqG1.pdb1	208.8
5xdqA1.pdb1	5xdqF1.pdb1	1241.85
5xdqA1.pdb1	5xdqK1.pdb1	343.75
5xdqA1.pdb1	5xdqC1.pdb1	2605.0
5xdqA1.pdb1	5xdqI1.pdb1	99.95
5xdqA1.pdb1	5xdqD1.pdb1	1358.65
5xdqA1.pdb1	5xdqL1.pdb1	1690.8
5xdqA1.pdb1	5xdqM1.pdb1	1081.85
5xdqA1.pdb1	5xdqB1.pdb1	3551.85
5xdqA1.pdb1	5xdqJ1.pdb1	271.8
5xdqA1.pdb1	5xdqG1.pdb1	362.95
5xdqF1.pdb1	5xdqC1.pdb1	897.85
5xdqF1.pdb1	5xdqD1.pdb1	139.5
5xdqF1.pdb1	5xdqE1.pdb1	157.1
5xdqF1.pdb1	5xdqJ1.pdb1	151.1
5xdqF1.pdb1	5xdqG1.pdb1	43.95
5xdqK1.pdb1	5xdqI1.pdb1	109.1
5xdqK1.pdb1	5xdqD1.pdb1	1448.1
5xdqK1.pdb1	5xdqM1.pdb1	9.1
5xdqK1.pdb1	5xdqB1.pdb1	182.1
5xdqC1.pdb1	5xdqL1.pdb1	20.15
5xdqC1.pdb1	5xdqB1.pdb1	26.25
5xdqC1.pdb1	5xdqJ1.pdb1	1308.05
5xdqC1.pdb1	5xdqG1.pdb1	1677.7
5xdqI1.pdb1	5xdqD1.pdb1	401.6
5xdqI1.pdb1	5xdqE1.pdb1	636.5
5xdqI1.pdb1	5xdqB1.pdb1	1475.85
5xdqD1.pdb1	5xdqM1.pdb1	342.45
5xdqD1.pdb1	5xdqE1.pdb1	1280.2
5xdqD1.pdb1	5xdqB1.pdb1	829.85
5xdqL1.pdb1	5xdqM1.pdb1	742.0
5xdqL1.pdb1	5xdqJ1.pdb1	103.7
5xdqE1.pdb1	5xdqB1.pdb1	276.0
2xd6A1.pdb1	2xd6A2.pdb1	1012.3
