3sqbA1.pdb1	3sqbB1.pdb1	1733.85
1sqvA2.pdb1	1sqvJ2.pdb1	268.65
1sqvA2.pdb1	1sqvD2.pdb1	138.6
1sqvE2.pdb1	1sqvC2.pdb1	474.4
1sqvE2.pdb1	1sqvK2.pdb1	126.9
1sqvE2.pdb1	1sqvJ2.pdb1	680.3
1sqvE2.pdb1	1sqvD2.pdb1	762.5
1sqvE2.pdb1	1sqvC1.pdb1	1196.45
1sqvE2.pdb1	1sqvD1.pdb1	50.0
1sqvH1.pdb1	1sqvG1.pdb1	115.95
1sqvH1.pdb1	1sqvD1.pdb1	1163.1
1sqvE1.pdb1	1sqvC2.pdb1	1196.45
1sqvE1.pdb1	1sqvJ1.pdb1	680.3
1sqvE1.pdb1	1sqvG1.pdb1	635.0
1sqvE1.pdb1	1sqvK1.pdb1	126.9
1sqvE1.pdb1	1sqvA1.pdb1	1011.7
1sqvE1.pdb1	1sqvD2.pdb1	50.0
1sqvE1.pdb1	1sqvC1.pdb1	474.4
1sqvE1.pdb1	1sqvD1.pdb1	762.5
1sqvB2.pdb1	1sqvB1.pdb1	657.0
1sqvB2.pdb1	1sqvI2.pdb1	2026.05
1sqvB2.pdb1	1sqvF1.pdb1	426.95
1sqvB1.pdb1	1sqvF2.pdb1	426.95
1sqvB1.pdb1	1sqvI1.pdb1	2026.05
1sqvB1.pdb1	1sqvA1.pdb1	2204.05
1sqvC2.pdb1	1sqvF2.pdb1	1213.0
1sqvC2.pdb1	1sqvK1.pdb1	117.45
1sqvC2.pdb1	1sqvD2.pdb1	1668.8
1sqvC2.pdb1	1sqvC1.pdb1	1119.6
1sqvJ1.pdb1	1sqvK1.pdb1	667.25
1sqvJ1.pdb1	1sqvA1.pdb1	268.65
1sqvJ1.pdb1	1sqvD1.pdb1	906.05
1sqvK2.pdb1	1sqvF1.pdb1	246.2
1sqvK2.pdb1	1sqvJ2.pdb1	667.25
1sqvK2.pdb1	1sqvC1.pdb1	117.45
1sqvF2.pdb1	1sqvK1.pdb1	246.2
1sqvF2.pdb1	1sqvA1.pdb1	50.25
1sqvF2.pdb1	1sqvD2.pdb1	372.25
1sqvG1.pdb1	1sqvF1.pdb1	451.05
1sqvG1.pdb1	1sqvA1.pdb1	882.7
1sqvG1.pdb1	1sqvC1.pdb1	1068.45
1sqvG1.pdb1	1sqvD1.pdb1	763.3
1sqvF1.pdb1	1sqvA1.pdb1	7.5
1sqvF1.pdb1	1sqvC1.pdb1	1213.0
1sqvF1.pdb1	1sqvD1.pdb1	372.25
1sqvK1.pdb1	1sqvA1.pdb1	377.2
1sqvI1.pdb1	1sqvA1.pdb1	1443.2
1sqvH2.pdb1	1sqvD2.pdb1	1163.1
1sqvA1.pdb1	1sqvC1.pdb1	428.05
1sqvA1.pdb1	1sqvD1.pdb1	138.6
1sqvJ2.pdb1	1sqvD2.pdb1	906.05
1sqvD2.pdb1	1sqvD1.pdb1	367.8
1sqvC1.pdb1	1sqvD1.pdb1	1668.8
3sq5B1.pdb5	3sq5A1.pdb5	810.0
1sq0A1.pdb1	1sq0B1.pdb1	1054.2
3sqsA2.pdb1	3sqsA3.pdb1	741.5
3sqsA2.pdb1	3sqsA6.pdb1	1390.7
3sqsA2.pdb1	3sqsA8.pdb1	2097.3
3sqsA2.pdb1	3sqsA4.pdb1	741.5
3sqsA5.pdb1	3sqsA3.pdb1	2097.3
3sqsA5.pdb1	3sqsA7.pdb1	741.5
3sqsA5.pdb1	3sqsA8.pdb1	741.5
3sqsA5.pdb1	3sqsA1.pdb1	1390.7
3sqsA3.pdb1	3sqsA8.pdb1	1390.7
3sqsA3.pdb1	3sqsA1.pdb1	741.5
3sqsA6.pdb1	3sqsA7.pdb1	741.5
3sqsA6.pdb1	3sqsA8.pdb1	741.5
3sqsA6.pdb1	3sqsA4.pdb1	2097.3
3sqsA7.pdb1	3sqsA1.pdb1	2097.3
3sqsA7.pdb1	3sqsA4.pdb1	1390.7
3sqsA1.pdb1	3sqsA4.pdb1	741.5
1sq5C1.pdb3	1sq5C2.pdb3	1887.8
1sqsB1.pdb1	1sqsA1.pdb1	1278.45
3sqlA1.pdb1	3sqlB1.pdb1	2923.75
1sqzB1.pdb1	1sqzA1.pdb1	290.0
1sqbA2.pdb1	1sqbD2.pdb1	166.1
1sqbA2.pdb1	1sqbK2.pdb1	373.1
1sqbA2.pdb1	1sqbJ2.pdb1	281.25
1sqbA2.pdb1	1sqbF2.pdb1	5.2
1sqbA2.pdb1	1sqbF1.pdb1	59.35
1sqbA2.pdb1	1sqbG2.pdb1	883.05
1sqbA2.pdb1	1sqbC2.pdb1	414.35
1sqbA2.pdb1	1sqbB2.pdb1	2301.85
1sqbA2.pdb1	1sqbE2.pdb1	1048.45
1sqbA2.pdb1	1sqbI2.pdb1	1444.15
1sqbD2.pdb1	1sqbJ2.pdb1	904.0
1sqbD2.pdb1	1sqbF2.pdb1	395.7
1sqbD2.pdb1	1sqbH2.pdb1	1221.95
1sqbD2.pdb1	1sqbG2.pdb1	770.9
1sqbD2.pdb1	1sqbC2.pdb1	1711.2
1sqbD2.pdb1	1sqbD1.pdb1	381.7
1sqbD2.pdb1	1sqbE2.pdb1	882.35
1sqbK2.pdb1	1sqbJ2.pdb1	671.15
1sqbK2.pdb1	1sqbF1.pdb1	241.2
1sqbK2.pdb1	1sqbC1.pdb1	74.8
1sqbK2.pdb1	1sqbE2.pdb1	126.55
1sqbA1.pdb1	1sqbF2.pdb1	59.35
1sqbA1.pdb1	1sqbE1.pdb1	1048.45
1sqbA1.pdb1	1sqbK1.pdb1	373.1
1sqbA1.pdb1	1sqbB1.pdb1	2301.85
1sqbA1.pdb1	1sqbF1.pdb1	5.2
1sqbA1.pdb1	1sqbI1.pdb1	1444.15
1sqbA1.pdb1	1sqbC1.pdb1	414.3
1sqbA1.pdb1	1sqbJ1.pdb1	281.25
1sqbA1.pdb1	1sqbD1.pdb1	166.1
1sqbA1.pdb1	1sqbG1.pdb1	883.05
1sqbJ2.pdb1	1sqbE2.pdb1	691.6
1sqbF2.pdb1	1sqbK1.pdb1	241.2
1sqbF2.pdb1	1sqbB1.pdb1	441.5
1sqbF2.pdb1	1sqbG2.pdb1	461.15
1sqbF2.pdb1	1sqbC2.pdb1	1216.6
1sqbF2.pdb1	1sqbE2.pdb1	8.15
1sqbH2.pdb1	1sqbG2.pdb1	147.15
1sqbH1.pdb1	1sqbD1.pdb1	1221.95
1sqbH1.pdb1	1sqbG1.pdb1	147.15
1sqbE1.pdb1	1sqbK1.pdb1	126.55
1sqbE1.pdb1	1sqbF1.pdb1	8.15
1sqbE1.pdb1	1sqbC1.pdb1	530.6
1sqbE1.pdb1	1sqbC2.pdb1	1118.85
1sqbE1.pdb1	1sqbJ1.pdb1	691.6
1sqbE1.pdb1	1sqbD1.pdb1	882.35
1sqbE1.pdb1	1sqbG1.pdb1	644.95
1sqbK1.pdb1	1sqbC2.pdb1	74.85
1sqbK1.pdb1	1sqbJ1.pdb1	671.15
1sqbB1.pdb1	1sqbI1.pdb1	2126.35
1sqbB1.pdb1	1sqbB2.pdb1	704.5
1sqbF1.pdb1	1sqbC1.pdb1	1216.6
1sqbF1.pdb1	1sqbB2.pdb1	441.5
1sqbF1.pdb1	1sqbD1.pdb1	395.7
1sqbF1.pdb1	1sqbG1.pdb1	461.15
1sqbG2.pdb1	1sqbC2.pdb1	1043.85
1sqbG2.pdb1	1sqbE2.pdb1	644.95
1sqbC1.pdb1	1sqbC2.pdb1	1216.3
1sqbC1.pdb1	1sqbD1.pdb1	1711.2
1sqbC1.pdb1	1sqbE2.pdb1	1118.85
1sqbC1.pdb1	1sqbG1.pdb1	1043.85
1sqbC2.pdb1	1sqbE2.pdb1	530.6
1sqbB2.pdb1	1sqbI2.pdb1	2126.35
1sqbJ1.pdb1	1sqbD1.pdb1	904.0
1sqbD1.pdb1	1sqbG1.pdb1	770.9
3sqoA1.pdb1	3sqoP1.pdb1	1334.25
3sqoA1.pdb1	3sqoH1.pdb1	442.45
3sqoA1.pdb1	3sqoL1.pdb1	380.15
3sqoH1.pdb1	3sqoL1.pdb1	1769.85
3sq6A1.pdb1	3sq6E1.pdb1	1358.85
3sq6A1.pdb1	3sq6B1.pdb1	1362.7
3sq6E1.pdb1	3sq6D1.pdb1	1252.3
3sq6D1.pdb1	3sq6C1.pdb1	1336.6
3sq6B1.pdb1	3sq6C1.pdb1	1332.4
3sqvA1.pdb1	3sqvC1.pdb1	819.95
1sqdA2.pdb1	1sqdA1.pdb1	1719.6
3sqbH1.pdb4	3sqbG1.pdb4	704.25
3sq7B1.pdb6	3sq7C2.pdb6	1924.7
3sq3B1.pdb5	3sq3A1.pdb5	939.6
1squA1.pdb1	1squB1.pdb1	1240.05
3sqnB1.pdb1	3sqnA1.pdb1	3156.5
3sq6H1.pdb2	3sq6G1.pdb2	1358.6
3sq6H1.pdb2	3sq6I1.pdb2	1358.3
3sq6G1.pdb2	3sq6J1.pdb2	0.05
3sq6G1.pdb2	3sq6F1.pdb2	1266.9
3sq6G1.pdb2	3sq6I1.pdb2	0.05
3sq6J1.pdb2	3sq6F1.pdb2	1259.7
3sq6J1.pdb2	3sq6I1.pdb2	1264.55
3sqzA1.pdb2	3sqzA2.pdb2	2762.25
3sqvC1.pdb3	3sqvA1.pdb3	819.95
3sqvA1.pdb3	3sqvB1.pdb3	1814.75
3sqvB1.pdb3	3sqvD1.pdb3	960.9
3sq8C2.pdb5	3sq8A1.pdb5	855.4
1sq4A2.pdb2	1sq4A4.pdb2	1545.15
1sq4A2.pdb2	1sq4A3.pdb2	1545.15
1sq4A4.pdb2	1sq4A1.pdb2	1545.15
1sq4A3.pdb2	1sq4A1.pdb2	1545.2
1sqlL1.pdb2	1sqlI1.pdb2	966.25
1sqlL1.pdb2	1sqlM1.pdb2	672.35
1sqlL1.pdb2	1sqlP1.pdb2	36.1
1sqlL1.pdb2	1sqlK1.pdb2	996.2
1sqlI1.pdb2	1sqlJ1.pdb2	963.25
1sqlI1.pdb2	1sqlO1.pdb2	36.75
1sqlI1.pdb2	1sqlP1.pdb2	666.25
1sqlM1.pdb2	1sqlN1.pdb2	966.65
1sqlM1.pdb2	1sqlP1.pdb2	985.35
1sqlM1.pdb2	1sqlK1.pdb2	43.45
1sqlJ1.pdb2	1sqlO1.pdb2	666.75
1sqlJ1.pdb2	1sqlN1.pdb2	45.8
1sqlJ1.pdb2	1sqlK1.pdb2	995.45
1sqlO1.pdb2	1sqlN1.pdb2	967.45
1sqlO1.pdb2	1sqlP1.pdb2	984.1
1sqlN1.pdb2	1sqlK1.pdb2	654.2
3sqvD1.pdb2	3sqvB1.pdb2	960.9
1sq4A2.pdb1	1sq4B4.pdb1	165.5
1sq4A2.pdb1	1sq4A3.pdb1	1545.15
1sq4A2.pdb1	1sq4B3.pdb1	3.65
1sq4A2.pdb1	1sq4B2.pdb1	451.0
1sq4A2.pdb1	1sq4A4.pdb1	1545.15
1sq4B4.pdb1	1sq4A1.pdb1	3.65
1sq4B4.pdb1	1sq4B2.pdb1	1541.05
1sq4B4.pdb1	1sq4B1.pdb1	1541.05
1sq4B4.pdb1	1sq4A4.pdb1	451.0
1sq4A3.pdb1	1sq4A1.pdb1	1545.2
1sq4A3.pdb1	1sq4B3.pdb1	451.0
