3upjB1.pdb1	3upjA1.pdb1	1666.05
4upeS1.pdb3	4upeC1.pdb3	3523.9
4upeA1.pdb1	4upeQ1.pdb1	3514.7
4upkC1.pdb2	4upkC3.pdb2	1193.7
4upkC1.pdb2	4upkC4.pdb2	2786.75
4upkC3.pdb2	4upkC2.pdb2	2786.75
4upkC4.pdb2	4upkC2.pdb2	1193.8
5upeB1.pdb1	5upeA1.pdb1	4182.95
1upjA2.pdb1	1upjA1.pdb1	1855.35
4uphA1.pdb1	4uphC1.pdb1	2721.55
4upmB1.pdb1	4upmA1.pdb1	2649.95
1upgB1.pdb1	1upgA1.pdb1	1063.6
5upzA1.pdb1	5upzB1.pdb1	1831.45
3up3P1.pdb1	3up3A1.pdb1	606.05
3up0B1.pdb2	3up0Q1.pdb2	603.0
3uplA1.pdb1	3uplB1.pdb1	2767.0
5up9C1.pdb1	5up9C4.pdb1	514.75
5up9C1.pdb1	5up9C2.pdb1	26.2
5up9C1.pdb1	5up9D1.pdb1	1456.45
5up9C1.pdb1	5up9C3.pdb1	514.75
5up9C1.pdb1	5up9E1.pdb1	733.2
5up9C1.pdb1	5up9D4.pdb1	712.55
5up9B4.pdb1	5up9B2.pdb1	498.1
5up9B4.pdb1	5up9B1.pdb1	498.1
5up9B4.pdb1	5up9A4.pdb1	1472.35
5up9B4.pdb1	5up9F4.pdb1	693.75
5up9B4.pdb1	5up9B3.pdb1	26.4
5up9B4.pdb1	5up9A1.pdb1	716.8
5up9C4.pdb1	5up9C2.pdb1	514.75
5up9C4.pdb1	5up9D2.pdb1	712.55
5up9C4.pdb1	5up9C3.pdb1	26.2
5up9C4.pdb1	5up9E4.pdb1	733.2
5up9C4.pdb1	5up9D4.pdb1	1456.45
5up9D3.pdb1	5up9C2.pdb1	712.55
5up9D3.pdb1	5up9F3.pdb1	543.15
5up9D3.pdb1	5up9E3.pdb1	537.7
5up9D3.pdb1	5up9C3.pdb1	1456.45
5up9D3.pdb1	5up9A3.pdb1	26.85
5up9D3.pdb1	5up9E2.pdb1	691.1
5up9B2.pdb1	5up9B1.pdb1	26.4
5up9B2.pdb1	5up9A2.pdb1	1472.35
5up9B2.pdb1	5up9A4.pdb1	716.8
5up9B2.pdb1	5up9F2.pdb1	693.75
5up9B2.pdb1	5up9B3.pdb1	498.1
5up9C2.pdb1	5up9D2.pdb1	1456.45
5up9C2.pdb1	5up9C3.pdb1	514.75
5up9C2.pdb1	5up9E2.pdb1	733.2
5up9D1.pdb1	5up9F1.pdb1	543.15
5up9D1.pdb1	5up9E3.pdb1	691.1
5up9D1.pdb1	5up9C3.pdb1	712.55
