4wvaA1.pdb1	4wvaA2.pdb1	1330.8
4wvaA1.pdb1	4wvaA3.pdb1	1330.75
4wvaA2.pdb1	4wvaA3.pdb1	1330.85
2wv7E1.pdb3	2wv7F1.pdb3	1528.0
1wveA1.pdb1	1wveC1.pdb1	985.9
1wveA1.pdb1	1wveB1.pdb1	3583.95
1wveC1.pdb1	1wveB1.pdb1	0.05
1wveD1.pdb1	1wveB1.pdb1	988.45
3wvoC1.pdb2	3wvoC2.pdb2	1543.0
4wvaB1.pdb2	4wvaB2.pdb2	1303.95
4wvaB1.pdb2	4wvaB3.pdb2	1303.9
4wvaB2.pdb2	4wvaB3.pdb2	1304.0
1wvaB3.pdb2	1wvaB2.pdb2	719.8
1wvaB3.pdb2	1wvaB1.pdb2	719.8
1wvaB2.pdb2	1wvaB1.pdb2	719.8
2wvyB1.pdb1	2wvyC1.pdb1	849.6
2wvyB1.pdb1	2wvyA1.pdb1	843.2
2wvyC1.pdb1	2wvyA1.pdb1	831.45
1wvqC2.pdb1	1wvqC1.pdb1	790.0
1wvqC2.pdb1	1wvqB1.pdb1	123.6
1wvqC2.pdb1	1wvqA2.pdb1	1867.9
1wvqC2.pdb1	1wvqA1.pdb1	213.3
1wvqC2.pdb1	1wvqB2.pdb1	1845.65
1wvqC1.pdb1	1wvqB1.pdb1	1845.65
1wvqC1.pdb1	1wvqA2.pdb1	213.3
1wvqC1.pdb1	1wvqA1.pdb1	1867.9
1wvqC1.pdb1	1wvqB2.pdb1	123.6
1wvqB1.pdb1	1wvqA2.pdb1	801.05
1wvqB1.pdb1	1wvqA1.pdb1	1861.5
1wvqB1.pdb1	1wvqB2.pdb1	201.4
1wvqA2.pdb1	1wvqA1.pdb1	124.1
1wvqA2.pdb1	1wvqB2.pdb1	1861.5
1wvqA1.pdb1	1wvqB2.pdb1	801.05
3wv7B1.pdb1	3wv7C1.pdb1	992.95
3wv7B1.pdb1	3wv7A1.pdb1	989.05
3wv7C1.pdb1	3wv7A1.pdb1	1001.75
4wv9D1.pdb1	4wv9C1.pdb1	1153.6
4wv9D1.pdb1	4wv9E1.pdb1	1182.9
4wv9C1.pdb1	4wv9B1.pdb1	1190.25
4wv9E1.pdb1	4wv9A1.pdb1	1229.1
4wv9B1.pdb1	4wv9A1.pdb1	1158.6
4wv8D1.pdb1	4wv8A1.pdb1	50.1
4wv8D1.pdb1	4wv8C1.pdb1	974.1
4wv8D1.pdb1	4wv8B1.pdb1	760.5
4wv8A1.pdb1	4wv8C1.pdb1	742.45
4wv8A1.pdb1	4wv8B1.pdb1	956.2
4wv8C1.pdb1	4wv8B1.pdb1	52.1
